en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Jacobsen syndrome,ヤコブセン症候群,disease,病気,"multiple congenital anomaly caused by deletion on chromosome 11, often featuring intellectual disabilities, dysmorphic features, delayed development and heart defects.",,Q1677755
Hermansky-Pudlak syndrome,ヘルマンスキー・プドラック症候群,disease,病気,rare disease,,Q1506216
mucopolysaccharidosis II,ムコ多糖症II型,disease,病気,mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme iduronate sulfatase,,Q1529983
malignant hyperthermia,悪性高熱症,disease,病気,"genetic disease that is characterized by a drastic and uncontrolled increase in skeletal muscle oxidative metabolism, which overwhelms the body's capacity to supply oxygen, remove carbon dioxide, and regulate body temperature",全身麻酔の併発症のひとつ,Q1585081
renal tubular acidosis,尿細管性アシドーシス,disease,病気,"renal tubular transport disease characterized by excess levels of acid in the blood, due to a failure of the kidneys",,Q1516211
protein C deficiency,プロテインC欠乏症,disease,病気,rare genetic trait that predisposes to thrombotic disease,,Q1504570
piebaldism,ぶち症,disease,病気,human disease,,Q1516083
Landau–Kleffner syndrome,ランドウ・クレフナー症候群,disease,病気,a rare childhood neurological syndrome characterized by seizures and progressive loss of speech typically in a child with previous age-appropriate development,,Q1636310
arrhythmogenic right ventricular dysplasia 8,不整脈原性右室異形成8,disease,病気,arrhythmogenic right ventricular dysplasia that has material basis in heterozygous mutation in the gene encoding desmoplakin (DSP) on chromosome 6p24,,Q27164442
phenylketonuria,フェニルケトン尿症,disease,病気,"amino acid metabolic disorder that is characterized by a mutation in the gene for the hepatic enzyme phenylalanine hydroxylase (PAH), rendering it nonfunctional",,Q194041
hyperaldosteronism,アルドステロン症,disease,病気,adrenal gland hyperfunction disease that results in the overproduction of aldosterone by the adrenal glands,,Q1640860
X-linked adrenoleukodystrophy,副腎白質ジストロフィー,disease,病気,"peroxisomal disorder resulting in cerebral demyelination, axonal dysfunction in the spinal cord leading to spastic paraplegia, adrenal insufficiency and in some cases testicular insufficiency",,Q366964
transmissible spongiform encephalopathy,伝達性海綿状脳症,disease,病気,group of brain diseases induced by prion proteins,,Q703961
mathematical anxiety,数学の心配,disease,病気,anxiety about one's ability to do mathematics,,Q845527
Townes-Brocks syndrome,タウンズ＝ブロックズ症候群,disease,病気,genetic disorder,,Q385774
inherited pseudoxanthoma elasticum,弾力繊維性仮性黄色腫,disease,病気,Human disease,,Q1052391
vertebral subluxation,サブラクセーション,disease,病気,chiropractic concept,,Q1362819
keratosis pilaris,毛孔性苔癬,disease,病気,skin condition characterized by small bumps,,Q1637035
chromosome 1q21.1 deletion syndrome,1q21.1欠失症候群,disease,病気,Human disease,,Q209049
agammaglobulinemia,低ガンマグロブリン血症,disease,病気,B cell deficiency that is caused by a reduction in all types of gamma globulins,,Q1047559
CHARGE syndrome,CHARGE症候群,disease,病気,"syndrome that is characterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina",先天性疾患,Q1023604
hydrocephalus,水頭症,disease,病気,disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain,脳脊髄液が頭蓋腔内に貯まり、脳室が正常より大きくなる病気,Q193003
Caroli disease,カロリ病,disease,病気,bile duct disease that is characterized by abnormal dilatation of the intrahepatic bile ducts,,Q1044327
hypotrichosis,低毛症,disease,病気,"hair disease that is characterized by sparse hair on the scalp resulting from abnormal hair follicle development and has material basis in mutations in proteins involved in hair growth, division or proliferation of cells within hair follicles",,Q1641483
autosomal recessive congenital ichthyosis,常染色体劣性遺伝性魚鱗癬,disease,病気,congenital skin disease,,Q266421
Little league shoulder,リトルリーガーズショルダー,disease,病気,,,Q11348224
supraventricular tachycardia,上室性頻拍,disease,病気,abnormally fast heart rhythm arising from improper electrical activity in the upper part of the heart,,Q1598909
Gitelman syndrome,ギテルマン症候群,disease,病気,Human disease,,Q1053120
Minamata disease,水俣病,disease,病気,"a severe neurological disease caused by mercury poisoning, first discovered in the Japanese city of Minamata.",日本の公害病、メチル水銀による中毒性中枢神経系疾患,Q338857
dilated cardiomyopathy,拡張型心筋症,disease,病気,disease characterized by an enlarged heart,,Q283656
Charcot–Marie–Tooth disease,シャルコー・マリー・トゥース病,disease,病気,"neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm",,Q1052687
chromosome 5q deletion syndrome,5q-症候群,disease,病気,human disease,,Q245455
variegate porphyria,異型ポルフィリン症,disease,病気,Human disease,,Q275385
electromagnetic hypersensitivity,電磁波過敏症,disease,病気,sensitivity to electromagnetic fields,,Q1437576
Gerstmann-Straussler-Scheinker syndrome,ゲルストマン・ストロイスラー・シャインカー症候群,disease,病気,"prion disease characterized by adult onset of memory loss, dementia, ataxia, and pathologic deposition of amyloid-like plaques in the brain",中枢神経の遺伝性疾患,Q383228
carpal tunnel syndrome,手根管症候群,disease,病気,medical condition due to compression of the median nerve as it travels through the wrist at the carpal tunnel,,Q332293
potassium-aggravated myotonia,カリウム惹起性ミオトニー,disease,病気,human disease,,Q7234683
pleuropulmonary blastoma,胸膜肺芽腫,disease,病気,pulmonary blastoma that derives from the lung or pleural cavity,,Q7204815
reticular dysgenesis,細網異形成症,disease,病気,Human disease,,Q7316718
restrictive dermopathy,拘束性皮膚障害,disease,病気,human disease,,Q7316329
pregnancy fetishism,妊婦フェティシズム,disease,病気,contexts in which pregnancy is seen by individuals and cultures as an erotic phenomenon,,Q796218
adenosine deaminase deficiency,アデノシンデアミナーゼ欠損症,disease,病気,"severe combined immunodeficiency that is caused by a defective enzyme, adenosine deaminase (ADA), necessary for the breakdown of purines. Lack of ADA causes accumulation of dATP",,Q1055374
Eastern equine encephalitis,東部馬脳炎,disease,病気,horse disease,,Q18553951
hypopnea,低呼吸,disease,病気,overly shallow breathing or an abnormally low respiratory rate,,Q957217
AIDS,後天性免疫不全症候群,disease,病気,spectrum of conditions caused by HIV infection,HIVによって引き起こされる感染症、性感染症の一つ,Q12199
ornithine translocase deficiency,高オルニチン血症・高アンモニア血症・ホモシトルリン尿症症候群,disease,病気,amino acid metabolic disorder that has material basis in deficiency of ornithine translocase resulting in the accumulation of ammonia in the blood,,Q7103627
paroxysmal extreme pain disorder,発作性激痛症,disease,病気,rare disorder of abnormal pain sensation,,Q7139588
demonophobia,悪魔恐怖症,disease,病気,fear of demons,,Q18351141
mandibuloacral dysplasia,下顎骨異形成,disease,病気,medical condition,,Q16968886
Myhre syndrome,Myhre症候群,disease,病気,medical condition,,Q17042115
voretigene neparvovec,ボレチジーンネパルボベック,disease,病気,gene therapy medication,,Q48988385
Urocanic aciduria,ウロカニン酸尿症,disease,病気,medical condition,,Q17141594
generalized epilepsy with febrile seizures plus,全般てんかん熱性けいれんプラス,disease,病気,idiopathic generalized epilepsy that is characterized by febrile seizures often with accessory afebrile generalized tonic-clonic seizures with childhood onset,,Q16909671
aversion to happiness,幸福恐怖症,disease,病気,People wanting to deliberately avoid positive emotions and / or happiness,,Q18209757
Singleton Merten syndrome,Singleton-Merten症候群,disease,病気,medical condition,,Q17125786
balloon phobia,風船恐怖症,disease,病気,fear of balloons,,Q17027368
plushophilia,ぬいぐるみ性愛,disease,病気,stuffed animals fetishism,,Q7205631
bibliophobia,書籍恐怖症,disease,病気,fear or hatred of books,,Q18169108
chronic thyroiditis,慢性甲状腺炎,disease,病気,autoimmune disease,,Q11094
mania,躁病,disease,病気,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",気分高揚・万能感・活動性激増・多弁・自己過大評価・睡眠激減・観念奔逸・病識欠如などを特徴とする精神疾患,Q185935
Capgras syndrome,カプグラ症候群,disease,病気,psychiatric disorder (syndrome) in which a person holds a delusion that a family member has been replaced by an identical imposter,精神疾患の一種,Q838018
left ventricular noncompaction,心筋緻密化障害,disease,病気,human disease,,Q1725245
Klippel-Feil syndrome,頸椎癒合症,disease,病気,physical disorder that has material basis in abnormal segmentation of the vertebra during fetal development which results in fusion located in cervical vertebra,,Q1774751
tyrosinemia type I,高チロシン血症1型,disease,病気,tyrosinemia that has material basis in deficiency of the enzyme fumarylacetoacetate hydrolase resulting in an increase in fumarylacetoacetate which inhibits previous steps in tyrosine degradation leading to an accumulation of tyrosine in the body,,Q1747726
Ganser syndrome,拘禁反応,disease,病気,rare dissociative disorder previously classified as a factitious disorder,強制的に自由を抑圧される環境に置かれた人に表れる人格の変化,Q911160
urophagia,飲尿,disease,病気,consumption of urine,尿を飲むこと,Q1779312
transposition of great vessels,大血管転位,disease,病気,"group of congenital heart defects involving an abnormal spatial arrangement of any of the great vessels: superior and/or inferior venae cavae, pulmonary artery, pulmonary veins, and aorta",,Q1758730
burusera,ブルセラ,disease,病気,"clothing paraphilia, sexualized attraction to the underwear or school uniforms",アダルトグッズとして流通する中古の学校用衣料品,Q2725587
mucopolysaccharidosis I,ムコ多糖症I型,disease,病気,lysosomal storage disease,,Q1906054
erythropoietic protoporphyria,骨髄性プロトポルフィリン症,disease,病気,"acute porphyria characterized by a deficiency in the enzyme ferrochelatase, leading to abnormally high levels of protoporphyrin in the tissue",,Q1759600
congenital erythropoietic porphyria,先天性骨髄性ポルフィリン症,disease,病気,congenital human disease,,Q1759389
microphilia,矮人嗜好,disease,病気,attraction to short or small people,,Q1478636
hyperekplexia,びっくり病,disease,病気,"nervous system disease characterized by an exaggerated startle response to sudden, unexpected auditory or tactile stimuli and hypertonia",不意をつく音や接触などにより筋痙攣・硬直が誘発される非常に稀な病気,Q1781802
Bardet-Biedl syndrome,バルデー・ビードル症候群,disease,病気,ciliopathic human genetic disorder that produces many effects and affects many body systems,,Q1678281
catatonia,緊張病,disease,病気,"psychopathological syndrome, a group of postural and movement abnormalities",精神運動の低下および昏迷状態に代表される異常行動を特徴とする状態,Q501571
LEOPARD syndrome,LEOPARD症候群,disease,病気,"rare autosomal dominant,[3] multisystem disease caused by a mutation in the protein tyrosine phosphatase, non-receptor type 11 gene (PTPN11)",,Q1798016
metachondromatosis,メタコンドロマトーシス,disease,病気,a rare disorder characterized by the presence of both multiple enchondromas and osteochondroma-like lesions,,Q6822414
mechanophilia,メカノフィリア,disease,病気,sexual attraction to machines,,Q2057682
ovarian hyperstimulation syndrome,卵巣過剰刺激症候群,disease,病気,human disease,,Q1760461
clinical vampirism,レンフィールド症候群,disease,病気,obsession with drinking blood,,Q2092492
Sotos syndrome,ソトス症候群,disease,病気,autosomal recessive disease that occurs rarely and is characterized by excessive physical growth during the first 2 to 3 years of life,,Q1770836
pilomatrixoma,毛母腫,disease,病気,Human disease,,Q1704531
double outlet right ventricle,両大血管右室起始症,disease,病気,"Human disease, Congenital Heart Disease",,Q361648
essential tremor,本態性振戦,disease,病気,"movement disorder causing involuntary tremors, especially in the hand",,Q693519
congenital adrenal hyperplasia,先天性副腎過形成症,disease,病気,steroid inherited metabolic disorder that is characterized by adrenal insufficiency and variable degrees of hyper- or hypo-androgeny manifestations resulting from steroidogenic enzyme deficiency,副腎皮質におけるステロイドホルモンの産生過程に必要な酵素が先天的に欠損している常染色体潜性遺伝病,Q366868
myxoid liposarcoma,粘液型脂肪肉腫,disease,病気,human disease,,Q6949365
Olmsted syndrome,オルムステッド症候群,disease,病気,human disease,,Q7088441
optic nerve hypoplasia,視神経低形成,disease,病気,human disease,,Q7098797
myoclonic astatic epilepsy,ドーゼ症候群,disease,病気,generalised idiopathic epilepsy,,Q6947909
neutral lipid storage disease,中性脂質蓄積症,disease,病気,"lipid storage disease that is characterized by accumulation of triglycerides in the cytoplasm of leukocytes, muscle, liver, fibroblasts, and other tissues",,Q7003001
spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,脊椎骨端骨幹端異形成症,disease,病気,medical condition,,Q7578954
coronavirus disease,コロナウイルス感染症,disease,病気,diseases caused by coronaviruses,コロナウイルスによって引き起こされる人獣共通感染症,Q18975243
subvalvular aortic stenosis,大動脈弁下狭窄症,disease,病気,Human disease,,Q7632441
tyrosinemia type III,高チロシン血症3型,disease,病気,tyrosinemia that has material basis in deficiency of 4-hydroxyphenylpyruvate dioxygenase disrupting the break down of tyrosine,,Q7861692
eurotophobia,女性器恐怖症,disease,病気,aversion to or dislike of female genitalia,,Q24946301
bacterial conjunctivitis,細菌性結膜炎,disease,病気,Human disease,,Q18558195
toxiphobia,毒物恐怖症,disease,病気,fear of poisons and being poisoned,,Q18353745
lilapsophobia,竜巻恐怖症,disease,病気,abnormal fear of tornadoes or hurricanes,,Q18353905
hedonophobia,快楽恐怖症,disease,病気,fear or aversion to obtaining pleasure,,Q23679966
megaloblastic anemia,巨赤芽球性貧血,disease,病気,macrocytic anemia that is characterized by inhibition of DNA synthesis during red blood cell production,,Q10832211
gram-negative bacterial infection,グラム陰性菌感染症,disease,病気,Infections caused by bacteria that show up as pink (negative) when treated by the gram-staining method,,Q19597369
Tietz syndrome,Tietz症候群,disease,病気,"monogenic disease that is characterized by congenital profound bilateral sensorineural hearing loss and generalized albino-like hypopigmentation of skin, eyes and hair that has material basis in mutation in the MITF gene on chromosome 3p13",,Q7801152
synpolydactyly,多合指症,disease,病気,syndactyly characterized by an increased number of digits; often a result of a mutation in the HOX D13 gene,,Q7662637
mechanophobia,機械恐怖症,disease,病気,fear of machines,,Q18389618
classical swine fever,豚熱,disease,病気,animal disease,ブタのウイルス性疾病,Q19000581
Schinzel–Giedion syndrome,シンツェル-ギーディオン症候群,disease,病気,"Schinzel-Giedion syndrome (SGS) is an ectodermal dysplasia syndrome chiefly characterized by a distinctive facial dysmorphism, hydronephrosis, severe developmental delay, typical skeletal malformations, and genital and cardiac anomalies",,Q7431481
tyrosinemia type II,高チロシン血症2型,disease,病気,"tyrosinemia that has material basis in deficiency of hepatic tyrosine aminotransferase located in the liver and is characterized by keratitis, painful palmoplantar hyperkeratosis, mental retardation, and elevated serum tyrosine levels",,Q7484623
kink,キンク,disease,病気,colloquial term for non-normative sexual behavior,,Q3815525
diogenes syndrome,ディオゲネス症候群,disease,病気,behavioral disorder notably characterized by extreme self-neglect and compulsive hoarding,,Q1226826
mange,毛包虫症,disease,病気,class of skin diseases caused by parasitic mites,,Q1358140
Cushing's disease,クッシング病,disease,病気,disease related to the anterior pituitary,,Q1947304
Paris syndrome,パリ症候群,disease,病気,tourist experience of being overwhelmed by visiting Paris,異文化における適応障害の一種,Q1462780
trisomy 9,9トリソミー,disease,病気,partial or complete triplication of chromosome 9,,Q381719
devil facial tumour disease,デビル顔面腫瘍性疾患,disease,病気,cancer type affecting Tasmanian devils,,Q2001911
Liddle syndrome,リドル症候群,disease,病気,"genetic disorder inherited in an autosomal dominant manner that is characterized by early, and frequently severe, high blood pressure",,Q1823656
growth hormone deficiency,下垂体性矮小症,disease,病気,Human disease,,Q369262
Leigh disease,亜急性壊死性脳脊髄障害,disease,病気,"mitochondrial metabolism disease characterized by progressive loss of mental and movement abilities. Symptoms usually begin between ages of three months and two years and include loss of appetite, vomiting, irritability and seizure activity",,Q1815019
enterotoxemia,エンテロトキセミア,disease,病気,animal disease,,Q1344619
polydactyly,多指症,disease,病気,physical anomaly resulting in supernumerary fingers and/or toes,,Q371520
Tyzzer's disease,ティザー病,disease,病気,bacterial disease of mammals,,Q2165907
ornithosis,オウム病,disease,病気,disease,主に鳥類経由で気道感染症を引き起こす人獣共通感染症,Q164727
chronic progressive external ophthalmoplegia,慢性進行性外眼筋麻痺症候群,disease,病気,human disease,,Q2026857
ectopia lentis,水晶体転位,disease,病気,disorder of lens,,Q1827028
border disease (sheep),ボーダー病,disease,病気,viral disease of sheep and goats caused by Pestivirus D,,Q893408
inclusion body myositis,封入体筋炎,disease,病気,inflammatory muscle disease in older adults,,Q1848471
omorashi,失禁,disease,病気,Bladder incontinence fetishism,自分の意思によらずに小便または大便を排泄すること,Q3046513
psychological dependence,精神的依存,disease,病気,form of dependence that involves emotional,,Q4420150
Castleman's disease,キャッスルマン病,disease,病気,"lymphoproliferative syndrome characterized by one or more enlarged lymph nodes containing cells with hyaline-vascular, plasmacytic, or mixed appearance microscopically",,Q1947302
moya moya disease,もやもや病,disease,病気,cerebral arterial disease characterized by constriction of certain arteries at the base of the brain; blood flow is blocked by the constriction and also by blood clots,脳底部に異常血管網がみられる脳血管障害,Q1951267
crayfish plague,ザリガニペスト,disease,病気,crayfish disease caused by Aphanomyces astaci,,Q602370
basal ganglia calcification,ファール病,disease,病気,"a rare, genetic neurological disorder characterized by abnormal deposits of calcium in areas of the brain that control movement",,Q1947307
Bifid penis,二裂陰茎,disease,病気,congenital defect,,Q4388376
animal lead poisoning,動物の鉛中毒,disease,病気,,,Q3474070
Kennedy disease,球脊髄性筋萎縮症,disease,病気,"Kennedy's disease, also known as bulbospinal muscular atrophy (BSMA), is a rare X-linked recessive motor neuron disease characterized by proximal and bulbar muscle wasting",,Q1995327
necrotising hepatopancreatitis,壊死性肝膵炎,disease,病気,lethal epizootic disease of farmed shrimp,,Q3144984
Leber congenital amaurosis,レーバー先天性黒内障,disease,病気,"retinal disease that is characterized by nystagmus, sluggish or no pupillary responses, and severe vision loss or blindness",,Q1811132
mageirocophobia,料理恐怖症,disease,病気,fear of cooking,,Q30314092
ZAP70 deficiency,ZAP70欠損症,disease,病気,medical condition,,Q8062938
Situs ambiguus,内臓錯位症候群,disease,病気,congenital defect,,Q83851589
religious trauma syndrome,宗教的トラウマ症候群,disease,病気,set of symptoms experienced by those who participate in or have left certain religious groups and belief systems,,Q54396715
common cold,風邪,disease,病気,common viral infection of upper respiratory tract,ウイルス感染症の一種,Q12125
Cholera,コレラ,disease,病気,bacterial infection of the small intestine,激しい下痢を主症状とする細菌感染症,Q12090
pharmaceutical preparation of nitroglycerin,ニトログリセリン,medication,医薬品,drug,,Q3221044
luseogliflozin,ルセオグリフロジン,medication,医薬品,chemical compound,,Q27275212
Kolokol-1,KOLOKOL-1,medication,医薬品,chemical compound,,Q6151855
Anji bai cha,安吉白茶,medication,医薬品,"Rare, large-leafed green tea",,Q17151716
direclidine,NBI-1117568,medication,医薬品,antipsychotic drug,,Q130343832
tunicamycin,ツニカマイシン,medication,医薬品,mixture; extract from bacteria,,Q3542091
nirmatrelvir/ritonavir,ニルマトレルビル・リトナビル,medication,医薬品,antiviral combination medication,,Q110442458
Mori Cortex,桑白皮,medication,医薬品,Crude drug,,Q27678903
mulberry leaf,桑葉,medication,医薬品,,,Q56316433
Indigenous Cacao,先住民族のカカオ,medication,医薬品,cacao seeds or cocoa beans from Theobroma cacao trees growing at their place of origin in South America,南米原産のカカオの木から採れるカカオの種子またはカカオ豆,Q116817861
four thieves vinegar,4人の泥棒の酢,medication,医薬品,concoction believed to protect users from the plague,,Q1327377
Angelica dahurica,ヨロイグサ,medication,医薬品,species of plant,セリ科シシウド属の多年草であるヨロイグサの漢名,Q847098
Zezecha,膳所茶,medication,医薬品,,,Q11612412
Yamecha,八女茶,medication,医薬品,"tea produced in Fukuoka Prefecture, Japan",日本茶のブランド,Q11390756
Savlon,サブロン,medication,医薬品,Antiseptic solution for hygiene care,,Q7428376
CVL-354,イカルカプラント,medication,医薬品,chemical compound,,Q116814555
Quercus Cortex,樸樕,medication,医薬品,crude drug,,Q27680188
Lushan Yunwu,廬山雲霧,medication,医薬品,famous Chinese green tea from Jiangxi,,Q11062782
Longjing tea,龍井茶,medication,医薬品,"pan-roasted green tea from the area of Longjing Village in Hangzhou, China",,Q1069130
corticotropin,副腎皮質刺激ホルモン,medication,医薬品,hormone,ホルモンの一つ,Q185690
balsam of Peru,ペルーバルサム,medication,医薬品,herbal preparation,ペルーバルサムの木から得られる樹脂,Q120424
Biluochun,碧螺春,medication,医薬品,"famous Chinese green tea from Dongting Mountains, near Suzhou",,Q2983740
peony root,芍薬,medication,医薬品,Crude drug,,Q27650141
Maojian tea,信陽毛尖,medication,医薬品,one of the top Chinese green teas,,Q10888066
Lu'an Melon Seed tea,六安瓜片,medication,医薬品,One of China's most famous green tea,,Q6694772
oral contraceptive,経口避妊薬,medication,医薬品,medication taken by mouth for the purpose of birth control,,Q3344800
fennel fruit,茴香,medication,医薬品,"fruit (""seed"") of the fennel plant used as herb, spice, or medicine",ウイキョウの果実、漢方生薬,Q27658833
Huangshan Maofeng,黄山毛峰,medication,医薬品,one of the most famous green teas in China,,Q1069679
tea tree oil,チャノキ油,medication,医薬品,essential oil derived from leaves,精油,Q48832
garlic,ニンニク,medication,医薬品,culinary ingredient (for the species use Q23400),香辛料など食品として利用されるニンニクの鱗茎,Q21546392
motherwort herb,マザーワート,medication,医薬品,herbal medicine documented by the European Medicines Agency,,Q165431
clove,丁子,medication,医薬品,spice made from dried flowers of clove (Syzygium aromaticum),,Q15622897
ginger rhizome,生姜,medication,医薬品,Crude drug,,Q27650669
cinnamon,シナモン,medication,医薬品,spice obtained from the inner bark of several tree species from the genus Cinnamomum,香辛料,Q28165
Chun Mee tea,珍眉茶,medication,医薬品,popular Chinese green tea,,Q1089546
Kamishoyosan,加味逍遙散,medication,医薬品,Chinese herbal medicine,漢方処方の一つ,Q11398555
Cimicifugae Rhizoma,升麻,medication,医薬品,Crude drug,,Q27658295
progestogen,ゲスターゲン,medication,医薬品,steroid hormone that activates the progesterone receptor,,Q45071
thyme,タイム,medication,医薬品,"herb with culinary, medicinal and ornamental uses",,Q3215980
juniper berry,杜松果,medication,医薬品,"spice, herbal drug",ビャクシン属樹木の果実,Q3251025
Tamaryokucha,玉緑茶,medication,医薬品,Japanese green tea,,Q2596949
liquorice root,甘草,medication,医薬品,Crude drug,,Q27631426
female condom,女性用コンドーム,medication,医薬品,device for birth control and STI prevention,,Q864088
ginseng root,人参,medication,医薬品,Crude drug,,Q27631045
Aracha,荒茶,medication,医薬品,deep green tea with a bold taste,,Q2598236
caraway seeds,キャラウェイシード,medication,医薬品,spice,,Q21155816
cinnamon bark extract,桂皮エキス,medication,医薬品,extract from cinnamon bark,シナモン樹皮の抽出物,Q204193
eucalyptus oil,ユーカリ油,medication,医薬品,distilled oil from the leaf of Eucalyptus,,Q511687
bancha,番茶,medication,医薬品,Japanese green tea,緑茶の一種,Q789960
Tolak Angin,トラック・アンギン,medication,医薬品,Herbal supplement product from Indonesia,,Q20427680
mastic,マスティック・ガム,medication,医薬品,resin obtained from the mastic tree,ウルシ科の低木マスティックの樹液を原料とした食用のガム・スパイス,Q318367
ibritumomab,イブリツモマブ チウキセタン,medication,医薬品,radioimmunotherapy treatment,放射免疫治療薬の一つ,Q635415
clove oil,クローブオイル,medication,医薬品,oil of cloves,,Q2195458
myrrh,没薬,medication,医薬品,resin produced by the Commiphora myrrha tree,,Q203635
pumpkin seed oil,パンプキン・シード・オイル,medication,医薬品,oil from the seeds of pumpkins,,Q770335
green tea,緑茶,medication,医薬品,unoxidized tea,飲料の一種,Q484083
anise oil,アニス油,medication,医薬品,herbal product; essential oil,,Q549313
theralizumab,TGN1412,medication,医薬品,monoclonal antibody,,Q424452
juniper oil,ジュニパー精油,medication,医薬品,"essential oil, herbal drug",精油,Q848174
pumpkin seed,かぼちゃの種,medication,医薬品,seeds of pumpkins and similar curcurbits,,Q3056521
genmaicha,玄米茶,medication,医薬品,Japanese green tea mixed with brown rice,,Q519365
Bergamot essential oil,ベルガモット精油,medication,医薬品,cold-pressed essential oil,,Q488431
baekseju,百歳酒,medication,医薬品,korean glutinous rice-based wine,朝鮮で古くから伝わるとされる酒,Q871311
lavender oil,ラベンダー油,medication,医薬品,essential oil obtained by distillation from the flower spikes of lavender flower,,Q900534
jujube,ナツメ,medication,医薬品,fruit of Ziziphus jujuba,ナツメの果実,Q3093648
Angelicae Radix,当帰,medication,医薬品,Crude drug,,Q27584644
Hyaku-sō,百草,medication,医薬品,herbal medicine,,Q11580850
Puerariae Radix,葛根,medication,医薬品,Crude drug,,Q27650339
Dioscoreae Rhizoma,山薬,medication,医薬品,Crude drug,,Q27622405
Nupharis Rhizoma,川骨,medication,医薬品,Crude drug,,Q27680136
Gardeniae Fructus,山梔子,medication,医薬品,Crude drug,,Q27631042
Natrii Sulfus,芒硝,medication,医薬品,Crude drug,,Q27650033
perilla leaf,蘇葉,medication,医薬品,leaf of Perilla frutescens,,Q27650144
Phellodendri Cortex,黄柏,medication,医薬品,Crude drug,,Q27650238
peach pit,桃仁,medication,医薬品,pit (or stone) from the fruit of Prunus persica,,Q27650233
sclerotium of umbrella polypore,猪苓,medication,医薬品,Crude drug,,Q27650332
Panacis Japonici Rhizoma,竹節人参,medication,医薬品,Crude drug,,Q27680139
Polygalae Radix,遠志,medication,医薬品,Crude drug,,Q27680185
beta-lipotropin,Β-リポトロピン,medication,医薬品,peptide hormone in Homo sapiens,,Q422297
Artemisiae Capillari Flos,茵蔯蒿,medication,医薬品,Crude drug,,Q27587250
Asiasari Radix,細辛,medication,医薬品,Crude drug,,Q27587290
Astragali Radix,黄耆,medication,医薬品,Crude drug,,Q27587366
Atractylodis Rhizoma,白朮,medication,医薬品,Crude drug,,Q27587790
swordlike atracylodes rhizome,蒼朮,medication,医薬品,Crude drug,,Q27587674
nut-grass rhizome,香附子,medication,医薬品,Crude drug,,Q27620177
Linderae Radix,烏薬,medication,医薬品,Crude drug,,Q27660387
Lithospermi Radix,紫根,medication,医薬品,Crude drug,,Q27660364
Lycii Cortex,地骨皮,medication,医薬品,Crude drug,,Q27660432
Magnoliae Flos,辛夷,medication,医薬品,Crude drug,,Q27660514
Psyllium seed husks,サイリウム,medication,医薬品,thickening agent,,Q430675
Lonicerae Folium Cum Caulis,忍冬,medication,医薬品,Crude drug,,Q27660431
Armeniacae Semen,杏仁,medication,医薬品,Crude drug,,Q27584859
calcitonin gene-related peptide,カルシトニン遺伝子関連ペプチド,medication,医薬品,peptide hormone in Homo sapiens,,Q419432
Japonica rice,粳米,medication,医薬品,crude drug,,Q27680137
mint leaf,薄荷,medication,医薬品,leaf of Mentha plant,,Q27640062
Chinese foxglove root,地黄,medication,医薬品,Crude drug,,Q27650341
Cannabis Fructus,麻子仁,medication,医薬品,crude drug,,Q27595243
Cicadae Periostracum,蝉退,medication,医薬品,Crude drug,,Q27595422
Chinese thorowax root,柴胡,medication,医薬品,dried root of Bupleurum chinense,,Q11341994
Notopterygii Rhizoma,羗活,medication,医薬品,Crude drug,,Q27678906
Nelumbis Semen,蓮肉,medication,医薬品,Crude drug,,Q27678905
opium,アヘン,medication,医薬品,dried latex of the opium poppy containing narcotic compounds,ケシの果汁を乾燥させた麻薬,Q46452
Peucedani Radix,前胡,medication,医薬品,Crude drug,,Q27680140
Polygoni Multiflori Radix,何首烏,medication,医薬品,Crude drug,,Q27680186
Anemarrhenae,知母,medication,医薬品,Crude drug,漢方生薬,Q27584346
Plantaginis Semen,車前子,medication,医薬品,Crude drug,,Q27650242
Ostreae Testa,牡蛎,medication,医薬品,Crude drug,,Q27650137
platycodon root,桔梗,medication,医薬品,"root of platycodon grandiflorus, used as food or a crude drug",,Q27650244
coptis rhizome,黄連,medication,医薬品,Crude drug,,Q27620126
Lilii Bulbus,百合,medication,医薬品,Crude drug,,Q27660271
magnolia bark,厚朴,medication,医薬品,Crude drug,,Q27640061
LGD-4033,リガンドロール,medication,医薬品,chemical compound,,Q21098841
gambier,阿仙薬,medication,医薬品,plant extract,,Q19840126
Coicis Semen,薏苡仁,medication,医薬品,crude drug,,Q27613853
Cinnamomi Cortex,桂皮,medication,医薬品,Crude drug,漢方生薬,Q27595488
Fossilia Ossis Mastodi,竜骨,medication,医薬品,Crude drug,,Q27630944
Catha edulis,チャット,medication,医薬品,"species of plant, commonly used by humans for its psychoactive effects",ニシキギ科に分類される植物,Q207642
rhubarb,大黄,medication,医薬品,Crude drug,,Q27650430
Lycii Fructus,枸杞子,medication,医薬品,Crude drug,,Q27660434
Moutan Cortex,牡丹皮,medication,医薬品,Crude drug,生薬,Q27650020
Ephedrae Herba,麻黄,medication,医薬品,Crude drug,,Q27626672
