en_label,ja_label,category,en_description,ja_description,qid
Heberden's node,ヘバーデン結節,病気,human disease,,Q1034711
carpal tunnel syndrome,手根管症候群,病気,medical condition due to compression of the median nerve as it travels through the wrist at the carpal tunnel,,Q332293
adenosine deaminase deficiency,アデノシンデアミナーゼ欠損症,病気,"severe combined immunodeficiency that is caused by a defective enzyme, adenosine deaminase (ADA), necessary for the breakdown of purines. Lack of ADA causes accumulation of dATP",,Q1055374
aceruloplasminemia,セルロプラスミン欠損症,病気,adult-onset disorder of neurodegeneration with brain iron accumulation,,Q337604
angioedema,血管性浮腫,病気,disease characterized by the rapid swelling,,Q1129007
sensorineural hearing loss,感音難聴,病気,type of Hearing Loss,,Q928697
greasy pig disease,滲出性表皮炎,病気,,,Q1406349
Felty's syndrome,フェルティ症候群,病気,"syndrome that results in rheumatoid arthritis, splenomegaly and neutropenia",関節リウマチ、脾腫、白血球減少を三主徴とする疾患,Q1404470
mange,毛包虫症,病気,class of skin diseases caused by parasitic mites,,Q1358140
fish tuberculosis,抗酸菌症,病気,,,Q1420459
swine dysentery,豚赤痢,病気,,,Q2255642
enterotoxemia,エンテロトキセミア,病気,animal disease,,Q1344619
discitis,椎間板炎,病気,Human disease,,Q2312030
Blackleg,黒あし病,病気,caused by Pectobacterium carotovorum,,Q2253530
supraventricular tachycardia,上室性頻拍,病気,abnormally fast heart rhythm arising from improper electrical activity in the upper part of the heart,,Q1598909
spondylitis,脊椎炎,病気,inflammation of the vertebra,,Q2165411
fetus in fetu,封入胎児,病気,"fetus-like tissue mass within a fetus, abnormality of twin pregnancy",,Q1435125
surra,スーラ病,病気,"infectious disease of mammals, caused by Trypanosoma",,Q1526645
tenosynovitis,腱鞘炎,病気,"inflammation of the fluid-filled sheath (called the synovium) that surrounds a tendon, typically leading to joint pain, swelling, and stiffness",腱の周囲を覆う腱鞘（けんしょう）の炎症,Q1505689
urethral stricture,尿道狭窄,病気,"narrowing of the urethra caused by injury, instrumentation, infection and certain non-infectious forms of urethritis",,Q1585753
miliary tuberculosis,粟粒結核,病気,extrapulmonary tuberculosis that results in formation of tiny lesions in all the organs,,Q17583
poliomyelitis,急性灰白髄炎,病気,human disease,ポリオウイルスによるウイルス性感染症,Q12195
tetanus,破傷風,病気,bacterial infection characterized by muscle spasms,破傷風菌を病原体とする人獣共通感染症,Q47790
hepatitis B,B型肝炎,病気,human viral infection,ウイルス性肝炎の一つ,Q6853
abomasal impaction,第四胃食滞,病気,disease in cattle,,Q6086018
ulcerative dermatitis,潰瘍性皮膚炎,病気,medical condition,,Q7878801
varicella zoster infection,水痘帯状疱疹感染症,病気,highly contagious viral infection caused by the varicella zoster virus,,Q55779917
Brunner Syndrome,ブルンナー症候群,病気,"amino acid metabolic disorder characterized by recessive X-linked inhetiance, impaired monoamine metabolism, impulsive aggressiveness and mild mental retardation that has material basis in mutation in the MAOA gene on chromosome location Xp11",,Q4979092
dengue fever,デング熱,病気,"tropical disease caused by the dengue virus, transmitted by mosquito",熱帯病の一つ,Q30953
pansteatitis,黄色脂肪症,病気,animal disease,,Q7131598
impetigo,膿痂疹,病気,human disease,細菌感染症の一つ,Q28971
avian influenza,トリインフルエンザ,病気,influenza caused by viruses adapted to birds,鳥類が感染するウイルスにより発症するインフルエンザ,Q43987
gram-negative bacterial infection,グラム陰性菌感染症,病気,Infections caused by bacteria that show up as pink (negative) when treated by the gram-staining method,,Q19597369
syphilis,梅毒,病気,sexually transmitted infection,梅毒トレポネーマの感染により発症する感染症,Q41083
rabies,狂犬病,病気,"deadly viral disease, transmitted through animals",狂犬病ウイルスの感染により発症する病気,Q39222
Morgellons,モルジェロンズ病,病気,self-diagnosed skin condition,,Q41398
leprosy,ハンセン病,病気,chronic infection caused by bacteria Mycobacterium leprae,らい菌による慢性感染症,Q36956
chancroid,軟性下疳,病気,sexually transmitted bacterial infection in humans,,Q31798
onion poisoning,タマネギ中毒,病気,,,Q123573455
cocoliztli epidemic,ココリツリの流行,病気,16th century epidemics in New Spain,,Q63472138
Flurona,フルロナ,病気,combinated illness derivated of the SARS-CoV-2 virus and the influenza virus,インフルエンザとCOVID-19に同時に罹患すること,Q110391577
chickenpox,水痘,病気,human disease,感染症の一つ,Q44727
smallpox,天然痘,病気,eradicated human disease,天然痘ウイルスの感染によって起こる病気,Q12214
swine influenza,豚インフルエンザ,病気,infection caused by any one of several types of swine influenza viruses,豚に感染するインフルエンザの一種,Q36855
staphylococcal infection,ブドウ球菌感染症,病気,human disease,,Q34879
porcine proliferative enteropathy,ローソニア感染症,病気,,,Q1767508
false memory syndrome,過誤記憶,病気,syndrome,,Q195961
hemarthrosis,関節内出血,病気,bleeding into joint spaces,,Q1642040
vertebral subluxation,サブラクセーション,病気,chiropractic concept,,Q1362819
linear IgA bullous dermatosis,線状IgA水疱性皮膚症,病気,Human disease,,Q5405504
gonorrhea,淋病,病気,sexually transmitted infection,淋菌への感染により起こる感染症,Q101896
knee osteoarthritis,変形性膝関節症,病気,Wear and tear of the cartilaginous joint surfaces of the knee joint.,,Q1777118
nutritional muscular dystrophy,白筋症,病気,disease caused by a deficiency of selenium and vitamin E in dietary intake,,Q4832491
adrenal fatigue,副腎疲労,病気,diagnosis of adrenal gland exhaustion,,Q4684712
occupational burnout,燃え尽き症候群,病気,"type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from one’s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy",,Q327988
spinocerebellar ataxia type 1,脊髄小脳変性症1型,病気,"Spinocerebellar ataxia type 1 (SCA1) is a subtype of type I autosomal dominant cerebellar ataxia (ADCA type I; see this term) characterized by dysarthria, writing difficulties, limb ataxia, and commonly nystagmus and saccadic abnormalities",,Q21097855
electromagnetic hypersensitivity,電磁波過敏症,病気,sensitivity to electromagnetic fields,,Q1437576
toxoplasmosis,トキソプラズマ症,病気,parasitic disease,,Q154878
shoulder impingement syndrome,インピンジメント症候群,病気,"syndrome which occurs when the tendons of the rotator cuff muscles become irritated and inflamed as they pass through the subacromial space, the passage beneath the acromion",,Q1660341
anthrax,炭疽症,病気,infection caused by Bacillus anthracis bacteria,炭疽菌を病原体とする細菌感染症,Q129104
drapetomania,ドラペトマニア,病気,conjectural mental illness linked to scientific racism,,Q2351339
bacterial cold water disease,冷水病,病気,bacterial disease of salmonid fish,,Q1722736
animal lead poisoning,動物の鉛中毒,病気,,,Q3474070
necrotising hepatopancreatitis,壊死性肝膵炎,病気,lethal epizootic disease of farmed shrimp,,Q3144984
patellofemoral pain syndrome,膝蓋大腿疼痛症候群,病気,Human disease,,Q7144437
spinocerebellar ataxia type 2,脊髄小脳変性症2型,病気,"Spinocerebellar ataxia type 2 (SCA2) is a subtype of type I autosomal dominant cerebellar ataxia (ADCA type I; see this term) characterized by truncal ataxia, dysarthria, slowed saccades and less commonly ophthalmoparesis and chorea",,Q22443082
caudal regression syndrome,尾部退行症候群,病気,congenital disorder in humans caused by abnormal fetal development of the lower spine,,Q1129947
Wolfram syndrome,ウォルフラム症候群,病気,"rare disease in which a human simultaneously has diabetes insipidus, diabetes, optic nerve atrophy and deafness syndrome",,Q1153641
Werner syndrome,ウェルナー症候群,病気,Lethal autosomal recessive disorder,,Q1154619
clubfoot,先天性内反足,病気,bone development disease,,Q1162164
Stargardt disease,スターガルト病,病気,age related macular degeneration that is characterized by progressive vision loss usually to the point of legal blindness,,Q1317319
leptospirosis,レプトスピラ症,病気,human and animal infectious disease,,Q155098
Ewing sarcoma,ユーイング肉腫,病気,"bone cancer that has material basis in neural crest cells derives from undeveloped, undifferentiated neuroectoderm",小円形細胞の増殖によりなる悪性腫瘍,Q1138580
Pfeiffer syndrome,プファイファー症候群,病気,acrocephalosyndactylia that has material basis in mutations in the FGFR1 and FGFR2 gene which results in premature fusion located in skull,,Q1286848
Costello syndrome,コステロ症候群,病気,"syndrome characterized by craniofacial dysmorphology, cardiac defects, mild intellectual disability, and high birth weight followed by a failure to thrive and developmental delays",,Q1136492
spinocerebellar ataxia type 31,脊髄小脳変性症31型,病気,Human disease,,Q22443995
Duck hepatitis,あひる肝炎,病気,,,Q11258215
Akabane disease,アカバネ病,病気,,,Q11282715
Chuzan disease,チュウザン病,病気,,,Q11318348
piscinoodiniosis,ピスシンウージニア症,病気,,,Q11331470
Little league shoulder,リトルリーガーズショルダー,病気,,,Q11348224
Necrobacteriosis,壊死桿菌症,病気,,,Q11429464
legionnaires' disease,レジオネラ症,病気,infectious disease characterized by severe form of infection producing pneumonia,,Q154882
Columnaris,カラムナリス病,病気,bacterial infection of fish,,Q3400643
white heifer disease,ホワイトヘイファー病,病気,,牛の病気,Q11338120
furunculosis of fish,せっそう病,病気,,,Q9378210
gram-positive bacterial infections,グラム陽性菌感染症,病気,infections caused by bacteria that retain the crystal violet stain (positive) when treated by the gram-staining method,,Q55789782
California encephalitis,カリフォルニア脳炎,病気,human and animal disease,,Q60250812
metapneumovirus infection,メタニューモウイルス感染症,病気,viral disease,,Q56634075
Spanish flu of 1918-1919 in Switzerland,スイスにおける1918年から1919年のスペインかぜ,病気,,,Q56313318
XX male syndrome,XX男性症候群,病気,rare congenital condition where an individual with XX chromosomes is born with a penis and testes,,Q365589
familial Mediterranean fever,家族性地中海熱,病気,Human disease,,Q1144618
savant syndrome,サヴァン症候群,病気,"psychological disorder that turns people to a megasavant, with a serious mental disorder",自閉症や知的障害の人のうち極稀に見られる、ある特定分野でのみ非常に優れた能力を示す症状,Q467265
tularemia,野兎病,病気,"primary bacterial infectious disease that has material basis in Francisella tularensis, which is transmitted by dog tick bite (Dermacentor variabilis), transmitted by deer flies (Chrysops sp) or transmitted by contact with infected animal tissues.",野兎病菌Francisella tularensisを原因とする人獣共通感染症,Q153861
SSRI discontinuation syndrome,SSRI離脱症候群,病気,"condition that can occur following the interruption, dose reduction, or discontinuation of antidepressant drugs, including selective serotonin re-uptake inhibitors (SSRIs) or serotonin–norepinephrine reuptake inhibitors (SNRIs)",,Q175918
stiff-person syndrome,スティッフパーソン症候群,病気,"rare neurologic disorder characterized by progressive rigidity and stiffness in truncal muscles, spasms, postural deformities, chronic pain, impaired mobility, and lumbar hyperlordosis",非常に稀な進行性の神経性疾患で、自己免疫疾患の一種,Q1235785
Kleine-Levin syndrome,クライン・レビン症候群,病気,recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior,,Q613809
interstitial lung disease,間質性肺炎,病気,group of lung diseases affecting the interstitium (the tissue and space around the air sacs of the lungs),肺にある間質組織の線維化が起こる疾患,Q1153419
overweight,過体重,病気,having a body mass index of 25.0–29.9 kg/m2,,Q332428
colony collapse disorder,蜂群崩壊症候群,病気,poorly-understood phenomenon causing decline in bee populations,ミツバチが原因不明で大量に失踪する現象,Q497841
Pitt-Hopkins syndrome,ピット＝ホプキンズ症候群,病気,"rare genetic disorder characterized by developmental delay, epilepsy, distinctive facial features, and possible intermittent hyperventilation followed by apnea",発達遅延、顔面形態異常、呼吸異常の合併を特徴とする遺伝子疾患,Q1164401
Peter Pan syndrome,ピーターパン症候群,病気,syndrome,「大人という年齢に達しているが精神的に大人になれない男女」を表す概念,Q1077589
Dorian Gray syndrome,ドリアン・グレイ症候群,病気,psychic syndrome,,Q1244963
severe acute respiratory syndrome,重症急性呼吸器症候群,病気,viral respiratory disease,SARSコロナウイルスの感染で発症するウイルス性呼吸器感染症,Q103177
diphallia,陰茎重複症,病気,genital medical condition,男児が2本の陰茎を持って生まれる疾患,Q1227139
brucellosis,ブルセラ症,病気,Human and animal disease,ブルセラ属の細菌への感染で発症する人獣共通感染症,Q156050
dysentery,赤痢,病気,inflammation of the intestine causing diarrhea with blood,下痢や血便を主症状とする大腸の感染症,Q129279
dermatofibrosarcoma protuberans,隆起性皮膚線維肉腫,病気,fibrosarcoma that is located in the dermis layer of the skin,,Q1200239
diphtheria,ジフテリア,病気,infectious disease,ジフテリア毒素によって起こる上気道の粘膜感染症,Q134649
Coffin-Lowry syndrome,コフィン・ローリー症候群,病気,genetic disorder that is X-linked dominant,,Q1106881
Nijmegen breakage syndrome,ナイミーヘン染色体不安定症候群,病気,human disease,,Q1250362
drusen,ドルーゼン,病気,tiny yellow or white accumulations of extracellular material that build up between Bruch's membrane and the retinal pigment epithelium of the eye,,Q1140528
autoimmune lymphoproliferative syndrome,自己免疫性リンパ増殖症候群,病気,Human disease,,Q1151300
Crigler-Najjar syndrome,クリグラー・ナジャール症候群,病気,bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT),,Q1140000
cardiofaciocutaneous syndrome,CFC症候群,病気,Human disease,,Q1097490
shock,ショック,病気,medical condition of insufficient blood flow to the tissues of the body,,Q178061
hemolytic anemia,溶血性貧血,病気,form of anemia due to hemolysis,赤血球の破壊により起こる貧血,Q1145668
Cohen syndrome,コーエン症候群,病気,"a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity",,Q1107087
Joubert syndrome,ジュベール症候群,病気,"Joubert syndrome (JS) is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones",,Q1101694
rinderpest,牛疫,病気,eradicated disease (caused by the Rinderpest virus),,Q157008
highly sensitive person,ハイリー・センシティブ・パーソン,病気,person with sensory processing sensitivity,高度な感覚処理感受性を気質として持つ人,Q1036653
Fanconi syndrome,ファンコーニ症候群,病気,"renal tubular transport disease of the proximal renal tubes characterized by glucosuria, phosphaturia, generalized aminoaciduria and HCO3 wasting",,Q1179460
foot-and-mouth disease,口蹄疫,病気,infectious and sometimes fatal viral disease that affects cloven-hoofed animals and caused by apthovirus,口蹄疫ウイルスによる家畜伝染病,Q152401
typhus,チフス,病気,group of infectious diseases,,Q160649
Waardenburg's syndrome,ワールデンブルグ症候群,病気,genetic condition involving hearing loss and depigmentation,,Q1151801
cystinosis,シスチノーシス,病気,lysosomal storage disease characterized by the abnormal accumulation of cystine in lysosomes,,Q1149042
idiopathic CD4+ lymphocytopenia,特発性CD4+リンパ球減少症,病気,rare disease,,Q1087632
obesity in pets,ペットの肥満,病気,veterinary disease,,Q16611540
Roemheld syndrome,レムヘルト症候群,病気,medical condition,,Q1638006
Dubin-Johnson syndrome,デュビン・ジョンソン症候群,病気,"rare, autosomal recessive, benign disorder that causes an isolated increase of conjugated bilirubin in the serum",,Q1263039
Frey syndrome,フライ症候群,病気,human disease,,Q1431371
parkinsonian syndrome,パーキンソン症候群,病気,symptoms that resemble Parkinson's disease,パーキンソン病以外の変性疾患や薬物投与、精神疾患等によりパーキンソン様症状が見られる疾患・状態,Q1531991
parental alienation syndrome,片親引き離し症候群,病気,"term to describe a suite of behaviors in children, disputed by some members of the scientific community",,Q1334131
contracture,拘縮,病気,"prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint",,Q1480291
Duane retraction syndrome,デュアン症候群,病気,a rare congenital disease characterized by external gaze palsy,,Q1262684
retired husband syndrome,主人在宅ストレス症候群,病気,psychosomatic stress-related illness of older females recognized in Japanese culture,,Q2146200
culture-bound syndrome,文化依存症候群,病気,combination of symptoms that are considered to be a recognizable disease only within a specific culture,,Q1791709
affluenza,金満病,病気,negative socio-psychological effects of consumerism,,Q1349829
Dravet syndrome,ドラべ症候群,病気,epilepsy characterized by frequent febrile seizures and with onset before 1 year,,Q1255956
pharmaceutical preparation of nitroglycerin,ニトログリセリン,医薬品,drug,,Q3221044
Kolokol-1,KOLOKOL-1,医薬品,chemical compound,,Q6151855
Anji bai cha,安吉白茶,医薬品,"Rare, large-leafed green tea",,Q17151716
direclidine,NBI-1117568,医薬品,antipsychotic drug,,Q130343832
oral contraceptive,経口避妊薬,医薬品,medication taken by mouth for the purpose of birth control,,Q3344800
tunicamycin,ツニカマイシン,医薬品,mixture; extract from bacteria,,Q3542091
nirmatrelvir/ritonavir,ニルマトレルビル・リトナビル,医薬品,antiviral combination medication,,Q110442458
Indigenous Cacao,先住民族のカカオ,医薬品,cacao seeds or cocoa beans from Theobroma cacao trees growing at their place of origin in South America,南米原産のカカオの木から採れるカカオの種子またはカカオ豆,Q116817861
four thieves vinegar,4人の泥棒の酢,医薬品,concoction believed to protect users from the plague,,Q1327377
Zezecha,膳所茶,医薬品,,,Q11612412
Yamecha,八女茶,医薬品,"tea produced in Fukuoka Prefecture, Japan",日本茶のブランド,Q11390756
Savlon,サブロン,医薬品,Antiseptic solution for hygiene care,,Q7428376
female condom,女性用コンドーム,医薬品,device for birth control and STI prevention,,Q864088
CVL-354,イカルカプラント,医薬品,chemical compound,,Q116814555
cinnamon bark extract,桂皮エキス,医薬品,extract from cinnamon bark,シナモン樹皮の抽出物,Q204193
luseogliflozin,ルセオグリフロジン,医薬品,chemical compound,,Q27275212
Lushan Yunwu,廬山雲霧,医薬品,famous Chinese green tea from Jiangxi,,Q11062782
beta-lipotropin,Β-リポトロピン,医薬品,peptide hormone in Homo sapiens,,Q422297
Longjing tea,龍井茶,医薬品,"pan-roasted green tea from the area of Longjing Village in Hangzhou, China",,Q1069130
mastic,マスティック・ガム,医薬品,resin obtained from the mastic tree,ウルシ科の低木マスティックの樹液を原料とした食用のガム・スパイス,Q318367
corticotropin,副腎皮質刺激ホルモン,医薬品,hormone,ホルモンの一つ,Q185690
balsam of Peru,ペルーバルサム,医薬品,herbal preparation,ペルーバルサムの木から得られる樹脂,Q120424
Biluochun,碧螺春,医薬品,"famous Chinese green tea from Dongting Mountains, near Suzhou",,Q2983740
Maojian tea,信陽毛尖,医薬品,one of the top Chinese green teas,,Q10888066
Psyllium seed husks,サイリウム,医薬品,thickening agent,,Q430675
Lu'an Melon Seed tea,六安瓜片,医薬品,One of China's most famous green tea,,Q6694772
myrrh,没薬,医薬品,resin produced by the Commiphora myrrha tree,,Q203635
calcitonin gene-related peptide,カルシトニン遺伝子関連ペプチド,医薬品,peptide hormone in Homo sapiens,,Q419432
Huangshan Maofeng,黄山毛峰,医薬品,one of the most famous green teas in China,,Q1069679
Mori Cortex,桑白皮,医薬品,Crude drug,,Q27678903
tea tree oil,チャノキ油,医薬品,essential oil derived from leaves,精油,Q48832
motherwort herb,マザーワート,医薬品,herbal medicine documented by the European Medicines Agency,,Q165431
clove,丁子,医薬品,spice made from dried flowers of clove (Syzygium aromaticum),,Q15622897
cinnamon,シナモン,医薬品,spice obtained from the inner bark of several tree species from the genus Cinnamomum,香辛料,Q28165
Chun Mee tea,珍眉茶,医薬品,popular Chinese green tea,,Q1089546
mulberry leaf,桑葉,医薬品,,,Q56316433
Kamishoyosan,加味逍遙散,医薬品,Chinese herbal medicine,漢方処方の一つ,Q11398555
progestogen,ゲスターゲン,医薬品,steroid hormone that activates the progesterone receptor,,Q45071
Angelica dahurica,ヨロイグサ,医薬品,species of plant,セリ科シシウド属の多年草であるヨロイグサの漢名,Q847098
thyme,タイム,医薬品,"herb with culinary, medicinal and ornamental uses",,Q3215980
juniper berry,杜松果,医薬品,"spice, herbal drug",ビャクシン属樹木の果実,Q3251025
Tamaryokucha,玉緑茶,医薬品,Japanese green tea,,Q2596949
Aracha,荒茶,医薬品,deep green tea with a bold taste,,Q2598236
caraway seeds,キャラウェイシード,医薬品,spice,,Q21155816
eucalyptus oil,ユーカリ油,医薬品,distilled oil from the leaf of Eucalyptus,,Q511687
Quercus Cortex,樸樕,医薬品,crude drug,,Q27680188
Tolak Angin,トラック・アンギン,医薬品,Herbal supplement product from Indonesia,,Q20427680
Aconiti Tuber,附子,医薬品,Crude drug,,Q27583768
peony root,芍薬,医薬品,Crude drug,,Q27650141
fennel fruit,茴香,医薬品,"fruit (""seed"") of the fennel plant used as herb, spice, or medicine",ウイキョウの果実、漢方生薬,Q27658833
alisma rhizome,沢瀉,医薬品,Crude drug,,Q27584141
green tea,緑茶,医薬品,unoxidized tea,飲料の一種,Q484083
opium,アヘン,医薬品,dried latex of the opium poppy containing narcotic compounds,ケシの果汁を乾燥させた麻薬,Q46452
garlic,ニンニク,医薬品,culinary ingredient (for the species use Q23400),香辛料など食品として利用されるニンニクの鱗茎,Q21546392
ginger rhizome,生姜,医薬品,Crude drug,,Q27650669
Lactucarium,ラクツカリウム,医薬品,milky fluid secreted by several species of lettuce,,Q3215910
theralizumab,TGN1412,医薬品,monoclonal antibody,,Q424452
Catha edulis,チャット,医薬品,"species of plant, commonly used by humans for its psychoactive effects",ニシキギ科に分類される植物,Q207642
Cimicifugae Rhizoma,升麻,医薬品,Crude drug,,Q27658295
genmaicha,玄米茶,医薬品,Japanese green tea mixed with brown rice,,Q519365
Bergamot essential oil,ベルガモット精油,医薬品,cold-pressed essential oil,,Q488431
baekseju,百歳酒,医薬品,korean glutinous rice-based wine,朝鮮で古くから伝わるとされる酒,Q871311
Achyranthis Radix,牛膝,医薬品,Crude drug,,Q27579297
liquorice root,甘草,医薬品,Crude drug,,Q27631426
ginseng root,人参,医薬品,Crude drug,,Q27631045
thyme oil,タイム精油,医薬品,herbal medicinal product,精油,Q1103369
camomile oil,カモミール精油,医薬品,essential oil of German chamomile or Roman chamomile,精油,Q1103862
Burdock Root,ごぼう,医薬品,herbal medicine documented by the European Medicines Agency,ゴボウの根、根菜,Q95999057
defibrotide,デフィブロチド,医薬品,mixture of single stranded polydeoxyribonucleotides derived from porcine intestinal mucosa used as a pharmaceutical drug,,Q3704725
hops,毬花,医薬品,female flowers of Humulus lupulus,ホップの雌花,Q3214940
Serpin family A member 1,抗トリプシン,医薬品,mammalian protein found in Homo sapiens,,Q292982
Methoxydienone,メトキシジエノン,医薬品,steroid,,Q28131982
clove oil,クローブオイル,医薬品,oil of cloves,,Q2195458
Wolfiporia extensa,マツホド,医薬品,species of fungus,サルノコシカケ科の菌類,Q3115198
aloe,アロエ,医薬品,medical product derived from various plants in the genus Aloe,,Q3612852
Nandrolone caproate,カプロン酸ナンドロロン,医薬品,synthetic androgen and anabolic steroid,,Q28131938
rosemary oil,ローズマリー・オイル,医薬品,herbal drug,,Q1251367
enteroglucagon,エンテログルカゴン,医薬品,peptide hormone,,Q2007590
menotropin,ヒト下垂体性性腺刺激ホルモン,医薬品,pharmaceutical drug,,Q416821
chenpi,陳皮,医薬品,sundried tangerine (mandarin) peel used as a traditional seasoning in Chinese cooking and traditional medicine,漢方薬の原料のひとつ,Q73988
soybean oil,大豆油,医薬品,oil from the seeds of Glycine max,,Q926892
Jesuit's bark,キナ皮,医薬品,bark from trees of the genus Cinchona,,Q3133417
juniper oil,ジュニパー精油,医薬品,"essential oil, herbal drug",精油,Q848174
insulin glargine,インスリングラルギン,医薬品,pharmaceutical drug,,Q417317
pumpkin seed,かぼちゃの種,医薬品,seeds of pumpkins and similar curcurbits,,Q3056521
donkey-hide gelatin,阿膠,医薬品,gelatin obtained from the skin of the donkey,,Q909377
Estrogen ester,エストロゲンエステル,医薬品,ester of an estrogen,,Q5401844
saw palmetto extract,ノコギリヤシエキス,医薬品,ineffective treatment for BPH,,Q7428510
lavender oil,ラベンダー油,医薬品,essential oil obtained by distillation from the flower spikes of lavender flower,,Q900534
jujube,ナツメ,医薬品,fruit of Ziziphus jujuba,ナツメの果実,Q3093648
gyokuro,玉露,医薬品,Japanese green tea cultivated under the shade rather than the full sun,緑茶の一種,Q1424874
Angelicae Radix,当帰,医薬品,Crude drug,,Q27584644
Arctii Fructus,牛蒡子,医薬品,Crude drug,,Q27656868
Puerariae Radix,葛根,医薬品,Crude drug,,Q27650339
Dioscoreae Rhizoma,山薬,医薬品,Crude drug,,Q27622405
Alpiniae Officinari Rhizoma,良姜,医薬品,Crude drug,,Q27653540
bancha,番茶,医薬品,Japanese green tea,緑茶の一種,Q789960
Gardeniae Fructus,山梔子,医薬品,Crude drug,,Q27631042
Natrii Sulfus,芒硝,医薬品,Crude drug,,Q27650033
Arecae Semen,檳榔子,医薬品,Crude drug,,Q27656870
Araliae Cordatae Rhizoma,独活,医薬品,Crude drug,生薬,Q27653543
perilla leaf,蘇葉,医薬品,leaf of Perilla frutescens,,Q27650144
Phellodendri Cortex,黄柏,医薬品,Crude drug,,Q27650238
peach pit,桃仁,医薬品,pit (or stone) from the fruit of Prunus persica,,Q27650233
sclerotium of umbrella polypore,猪苓,医薬品,Crude drug,,Q27650332
Saccharum Granorum,膠飴,医薬品,Crude drug,,Q27650534
scutellaria root,黄芩,医薬品,Crude drug,,Q27650611
Schisandrae Fructus,五味子,医薬品,Crude drug,,Q27650609
Sinomeni Caulis et Rhizoma,防已,医薬品,Crude drug,,Q27650613
Akebiae Caulis,木通,医薬品,Crude drug,,Q27650944
Zingiberis Siccatum Rhizoma,乾姜,医薬品,Crude drug,,Q27650672
Amomi Semen,縮砂,医薬品,Crude drug,,Q27653541
Araliae Cordatae Radix,和羗活,医薬品,Crude drug,,Q27656865
Arisaematis Tuber,天南星,医薬品,Crude drug,,Q27656872
Asparagi Radix,天門冬,医薬品,Crude drug,,Q27657258
Artemisiae Capillari Flos,茵蔯蒿,医薬品,Crude drug,,Q27587250
Asiasari Radix,細辛,医薬品,Crude drug,,Q27587290
Astragali Radix,黄耆,医薬品,Crude drug,,Q27587366
Atractylodis Rhizoma,白朮,医薬品,Crude drug,,Q27587790
swordlike atracylodes rhizome,蒼朮,医薬品,Crude drug,,Q27587674
nut-grass rhizome,香附子,医薬品,Crude drug,,Q27620177
ibritumomab,イブリツモマブ チウキセタン,医薬品,radioimmunotherapy treatment,放射免疫治療薬の一つ,Q635415
Angelicae Dahuricae Radix,白芷,医薬品,Crude drug,,Q27653542
Armeniacae Semen,杏仁,医薬品,Crude drug,,Q27584859
pumpkin seed oil,パンプキン・シード・オイル,医薬品,oil from the seeds of pumpkins,,Q770335
mint leaf,薄荷,医薬品,leaf of Mentha plant,,Q27640062
yerba mate,イェルバ・マテ,医薬品,species of plant,,Q117068
Chinese foxglove root,地黄,医薬品,Crude drug,,Q27650341
Cannabis Fructus,麻子仁,医薬品,crude drug,,Q27595243
Cicadae Periostracum,蝉退,医薬品,Crude drug,,Q27595422
Chinese thorowax root,柴胡,医薬品,dried root of Bupleurum chinense,,Q11341994
Zanthoxyli Fructus,山椒,医薬品,Crude drug,漢方生薬,Q27650667
Anemarrhenae,知母,医薬品,Crude drug,漢方生薬,Q27584346
anise oil,アニス油,医薬品,herbal product; essential oil,,Q549313
Plantaginis Semen,車前子,医薬品,Crude drug,,Q27650242
Ostreae Testa,牡蛎,医薬品,Crude drug,,Q27650137
platycodon root,桔梗,医薬品,"root of platycodon grandiflorus, used as food or a crude drug",,Q27650244
coptis rhizome,黄連,医薬品,Crude drug,,Q27620126
Artemisiae Folium,艾葉,医薬品,Crude drug,,Q27657241
magnolia bark,厚朴,医薬品,Crude drug,,Q27640061
gambier,阿仙薬,医薬品,plant extract,,Q19840126
Coicis Semen,薏苡仁,医薬品,crude drug,,Q27613853
Cinnamomi Cortex,桂皮,医薬品,Crude drug,漢方生薬,Q27595488
Fossilia Ossis Mastodi,竜骨,医薬品,Crude drug,,Q27630944
rhubarb,大黄,医薬品,Crude drug,,Q27650430
Moutan Cortex,牡丹皮,医薬品,Crude drug,生薬,Q27650020
Ephedrae Herba,麻黄,医薬品,Crude drug,,Q27626672
Evodiae Fructus,呉茱萸,医薬品,Crude drug,,Q27626767
ophiopogon tuber,麦門冬,医薬品,Crude drug,,Q27650135
Uncariae Uncis Cum Ramulus,釣藤鈎,医薬品,Crude drug,,Q27650616
pinellia tuber,半夏,医薬品,Crude drug,,Q27650240
Cnidii Rhizoma,川芎,医薬品,Crude drug,生薬,Q27595494
V451,V451ワクチン,医薬品,experimental vaccine targeting SARS-CoV-2,,Q104115692
