qid,category_en,category_ja
Q6363357,Romania in the Eurovision Song Contest,
Q6363445,Austria in the Eurovision Song Contest,
Q6364696,Azerbaijan in the Eurovision Song Contest,
Q6364714,Netherlands in the Eurovision Song Contest,
Q6364742,Cyprus in the Eurovision Song Contest,
Q6364755,Denmark in the Eurovision Song Contest,
Q6364828,Finland in the Eurovision Song Contest,
Q6364808,Ukraine in the Eurovision Song Contest,
Q6365391,General secretaries of the Communist Party of Greece,
Q6373857,Medical colleges in India,
Q6397148,Books about health,
Q6397176,Books about mental health,
Q6400749,Reptile anatomy,
Q6402717,Vietnamese generals,
Q6427763,The Voice (franchise) contestants,
Q6429290,Health in South America,
Q6429295,Health in Oceania,
Q6362678,Phylogenetics,Category:系統学
Q6363276,Eurovision Song Contest entrants for Belgium,Category:ベルギーのユーロビジョン・ソング・コンテスト参加者
Q6363819,Genesis (band) members,Category:ジェネシスのメンバー
Q6363880,"Heating, ventilation, and air conditioning",Category:暖房換気空調
Q6364470,Eurovision Song Contest entrants for Norway,Category:ノルウェーのユーロビジョン・ソング・コンテスト参加者
Q6364501,Eurovision Song Contest entrants for the Netherlands,Category:オランダのユーロビジョン・ソング・コンテスト参加者
Q6364519,Eurovision Song Contest entrants for Italy,Category:イタリアのユーロビジョン・ソング・コンテスト参加者
Q6364665,Eurovision Song Contest entrants for Spain,Category:スペインのユーロビジョン・ソング・コンテスト参加者
Q6364881,Eurovision Song Contest entrants for Finland,Category:フィンランドのユーロビジョン・ソング・コンテスト参加者
Q6364965,Eurovision Song Contest entrants for Georgia (country),Category:ジョージアのユーロビジョン・ソング・コンテスト参加者
Q6414687,DNA viruses,Category:DNAウイルス
Q6418790,Health in Germany,Category:ドイツの保健
Q6436248,World Health Organization,Category:世界保健機関
Q6444569,Medical schools,Category:医科大学
Q6445644,Health in Asia,Category:アジアの保健
Q6445671,Health by continent,Category:大陸別の保健
Q6455064,Electrical generators,Category:発電機
Q6457495,Plastic surgery,Category:形成外科学
Q6461007,Protestants by nationality,Category:各国のプロテスタント信者
Q6461067,Ministries of health,Category:保健省
Q6461099,Protestants,Category:プロテスタントの信者
Q6463763,Art therapy,Category:絵画療法
Q6463853,North Korean nuclear weapons testing,Category:北朝鮮の核実験
Q6464418,Neglected tropical diseases,Category:顧みられない病気
Q6467764,Hospitals in South Korea,Category:韓国の医療機関
Q6467862,Health in South Korea,Category:韓国の医療
Q6469408,Nuclear weapons testing,Category:核実験
Q6469851,Harvard Medical School,カテゴリ:ハーバード大学医学大学院
Q6470241,Works about patients who struggle against diseases,Category:闘病を題材とした作品
Q6479971,Eurovision Song Contest entrants of 2005,Category:ユーロビジョン・ソング・コンテスト2005参加者
Q6504655,Medical diagnosis,Category:診断
Q6505434,Eurovision Song Contest entrants of 2008,Category:ユーロビジョン・ソング・コンテスト2008参加者
Q6509053,Cerebrovascular diseases,Category:脳血管疾患
Q6542118,Riots and civil disorder by country,Category:各国の暴動事件
Q6417371,Top-importance Genetics articles,
Q6417857,2011 protests,
Q6417923,Protests by year,
Q6427604,Countries in the Eurovision Song Contest by year,
Q6427692,Countries in the Eurovision Song Contest 2004,
Q6430230,Monotypic mammal genera,
Q6430428,Ministers of health of Israel,
Q6430503,Survivors of diseases and disorders,
Q6444667,Ruminant diseases,
Q6448744,Health in the Republic of Ireland,
Q6449854,Health care software,
Q6463210,Ethiopian generals,
Q6463414,Deaths from neurodegenerative disease,
Q6467770,University hospitals in South Korea,
Q6470207,Translational medicine,
Q6471153,List of various medical and paramedical fields,
Q6479952,Superiors General of the Society of Jesus,
Q6501451,History of Geneva,
Q6509081,Health in Iran,
Q6517725,Psychophysiology,
Q6527708,General Epistles,
Q6543193,Health in Panama,
Q6543441,Disease-related deaths in France,
Q6543452,Disease-related deaths in Spain,
Q6543463,Disease-related deaths in Panama,
Q6543470,Deaths from cancer in France,
Q6489624,Secretaries-general of the United Nations,Category:国際連合事務総長
Q6500135,Syndromes,Category:症候群
Q6535751,Antiplatelet drugs,Category:抗血小板薬
Q6539894,Beat Generation,Category:ビート・ジェネレーション
Q6541478,Riots and civil disorder in France,Category:フランスの暴動
Q6584191,Antibiotic-resistant bacteria,Category:抗生物質耐性菌
Q6584850,Animal anatomy,Category:動物解剖学
Q6584894,Neurological disorders,Category:脳神経疾患
Q6585038,Psychotherapy,Category:心理療法
Q6585042,Medical specialties,Category:医学の分野
Q6600943,Cat health,Category:猫の健康
Q6614307,Vertebrate anatomy,Category:脊椎動物の解剖学
Q6629191,Paleogene,Category:古第三紀
Q6498320,Drugs,
Q6529265,Star Trek: The Next Generation,
Q6545343,Eighth-generation video game consoles,
Q6545494,Sixth-generation video game consoles,
Q6545503,Seventh-generation video game consoles,
Q6546869,Symptoms and signs: Digestive system and abdomen,
Q6547418,Byzantine generals,
Q6552056,Genetically modified organisms in agriculture,
Q6580842,Medical X-ray radiography,
Q6584303,Healthcare-associated infections,
Q6598745,Australian Survivor contestants,
Q6614692,Eurovision Song Contest 2009,
Q6614711,Eurovision Song Contest 2008,
Q6762452,Disease-related deaths in the United States,
Q6796046,Converts to Protestantism from Judaism,
Q6796598,Medical mnemonics,
Q6797322,Bacteria classes,
Q6798504,Disease-related deaths in Turkey,
Q6802369,"Disorders of eyelid, lacrimal system and orbit",
Q6802384,Drug pages needing a structure drawing,
Q6805769,Tomato diseases,
Q6806074,Monotypic genera,
Q6814530,Drugs for impotency,
Q6814767,Standardized tests,
Q6853214,Potato diseases,
Q6853266,Skeletal disorders,
Q6853275,Mouth diseases,
Q6853290,Ischemic heart diseases,
Q6741604,Testudinidae,Category:リクガメ科
Q6746221,Mercy-class hospital ships,Category:マーシー級病院船
Q6806677,Health gods,Category:健康の男神
Q6814492,Drugs acting on the cardiovascular system,Category:心血管系に作用する薬
Q6814466,World Health Organization essential medicines,Category:WHOエッセンシャルドラッグ
Q6819089,People by medical or psychological condition,Category:身体もしくは精神の特徴別の人物
Q6853228,Breast diseases,Category:乳腺疾患
Q6853248,Thyroid disease,Category:甲状腺疾患
Q6608774,Medical equipment,Category:医療機器
Q6539908,Protests,Category:抗議行動
Q6808365,Old Testament apocrypha,
Q6809021,Genera,
Q6809004,Monoclonal antibodies for tumors,
Q6809065,Bacteria genera,
Q6809041,Monocot genera,
Q6809052,Rodent genera,
Q6809103,Animal genera,
Q6809088,Monotypic animal genera,
Q6809119,Monotypic bird genera,
Q6809264,Drug delivery devices,
Q6820927,People with bipolar disorder,
Q6821303,New Testament chapters,
Q6822369,Digestive disease symptoms,
Q6822381,Symptoms and signs: Nervous and musculoskeletal systems,
Q6853307,"Diseases of oesophagus, stomach and duodenum",
Q6853361,Valvular heart disease,
Q6853449,Kidney diseases,
Q6853503,Genetic disorders by inheritance,
Q6854330,Secretaries general of the Arab League,
Q6854341,Secretaries-general of the Gulf Cooperation Council,
Q6898379,Protests in Bahrain,
Q6898420,Protests in Morocco,
Q6898459,Protests in Turkey,
Q6898487,Kurdish protests and rebellions,
Q6898472,Protests in Egypt,
Q6898502,Kurdish protests and rebellions in Turkey,
Q6898685,Acid tests,
Q6902081,Pancreas disorders,
Q6902093,Menstrual disorders,
Q6902120,Brain disorders,
Q6902148,Lipid disorders,
Q6902252,Gastrointestinal tract disorders,
Q6902283,Esophagus disorders,
Q6902269,Tongue disorders,
Q6821544,English medical doctors,Category:イングランドの医師
Q6821749,Malaysian medical doctors,Category:マレーシアの医師
Q6853300,Diseases of liver,Category:肝臓病
Q6853313,Autoimmune diseases,Category:自己免疫疾患
Q6853331,Sleep disorders,Category:睡眠障害
Q6853345,Autosomal dominant disorders,Category:常染色体優性疾患
Q6853428,Cardiovascular diseases,Category:循環器病
Q6853465,Insect-borne diseases,Category:昆虫媒介性疾患
Q6853484,Rare diseases,Category:希少疾患
Q6853509,Vascular diseases,Category:血管疾患
Q6853592,American Protestants,Category:アメリカ合衆国のプロテスタントの信者
Q6898660,Product testing,Category:製品テスト
Q6898742,Language tests,Category:語学検定
Q6901917,Gynaecologic disorders,Category:婦人科疾患
Q6901976,Metabolic disorders,Category:代謝疾患
Q6902056,Eating disorders,Category:摂食障害
Q6902168,Endocrine gonad disorders,Category:内分泌生殖腺障害
Q6902217,Anxiety disorders,Category:不安障害
Q6845743,Cancelled Sega Genesis games,
Q6865461,New Testament text-types,
Q6868814,Health awareness days,
Q6892780,Soft tissue disorders,
Q6894802,General economics,
Q6902379,Lysosomal storage diseases,
Q6902466,Autosomal recessive disorders,
Q6902503,Genetic disorders by system,
Q6902492,Sexual and gender identity disorders,
Q6902529,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
Q6902517,Voice disorders,
Q6902687,Language disorders,
Q6907217,Protests in Spain,
Q6907244,Protests in Syria,
Q6907472,Congenital disorders of musculoskeletal system,
Q6916224,Environmental health,
Q6916246,Health in England,
Q6916266,Health in Jordan,
Q6916282,Health in Iraq,
Q6916302,Health in the United Kingdom,
Q6916325,Health in Yemen,
Q6916345,Health in Eswatini,
Q6916369,Health in Switzerland,
Q6916418,"Health, education, and welfare economics",
Q6925550,French residents-general in Tunisia,
Q6936881,New Testament papyri,
Q6937142,Neogene volcanism,
Q6938411,Health software,
Q6938903,Converts to Islam from Protestantism,
Q6939104,Acute-phase proteins,
Q6961177,Public health education,
Q6902639,Mental disorders,Category:精神障害
Q6814036,Medical manuals,Category:医学手引書
Q6892637,Protestant Reformation,Category:宗教改革
Q6893925,Works about health,Category:健康に関する映画
Q6902328,Mood disorders,Category:気分障害
Q6902364,Identity disorders,Category:同一性障害
Q6902390,Lipid storage disorders,Category:脂質蓄積病
Q6902420,Somatoform disorders,Category:身体表現性障害
Q6902568,Musculoskeletal disorders,Category:筋骨格系疾患
Q6925210,Metal heat treatments,Category:熱処理
Q6927599,Psychopathology,Category:精神病理学
Q6928142,United Nations General Assembly subsidiary organs,Category:国際連合総会の補助機関
Q6938917,Former Protestants,Category:プロテスタントの棄教者
Q6939040,Transmembrane proteins,Category:膜貫通タンパク質
Q6939086,Zinc proteins,Category:亜鉛タンパク質
Q6961158,Health education,Category:健康教育
Q6961882,Psychiatric diagnosis,Category:精神医学的診断
Q6961910,Insect anatomy,Category:昆虫解剖学
Q6961979,Upper limb anatomy,Category:上肢の解剖学
Q6932017,Hematopathology,
Q6941763,Fusobacteria,
Q6959583,Fictional drug dealers,
Q6962008,Nail anatomy,
Q6963534,Cancer staging,
Q6969630,General Electric Healthcare subsidiaries,
Q6976244,Eye surgery,
Q6980748,Thai generals,
Q6986411,Hospitals in Edmonton,
Q6932065,German medical researchers,Category:ドイツの医学者
Q6933289,Health research,Category:健康法
Q6939063,Cell adhesion proteins,Category:細胞接着分子
Q6939141,Glycoproteins,Category:糖タンパク質
Q6940885,Protests by country,Category:各国の抗議行動
Q6941895,Generals by nationality,Category:各国の将官
Q6942650,Student protests by country,Category:各国の学生運動
Q6951224,Health by country,Category:各国の保健
Q6961932,Cell anatomy,Category:細胞解剖学
Q6962045,Liver anatomy,Category:肝解剖学
Q6968167,Waste treatment technology,Category:廃棄物処理技術
Q6968402,Protest tactics,Category:抗議行動の戦術
Q6976220,Vascular surgery,Category:血管外科学
Q6976288,Cardiac surgery,Category:心臓外科学
Q6982320,Medicine awards,Category:医学の賞
Q6983992,Genes by human chromosome,Category:ヒト染色体上の遺伝子
Q6984021,Genes on human chromosome 1,Category:ヒト1番染色体上の遺伝子
Q6984050,Genes on human chromosome 10,Category:ヒト10番染色体上の遺伝子
Q6984074,Genes on human chromosome 11,Category:ヒト11番染色体上の遺伝子
Q6984105,Genes on human chromosome 12,Category:ヒト12番染色体上の遺伝子
Q6984123,Genes on human chromosome 13,Category:ヒト13番染色体上の遺伝子
Q6984146,Genes on human chromosome 14,Category:ヒト14番染色体上の遺伝子
Q6984178,Genes on human chromosome 15,Category:ヒト15番染色体上の遺伝子
Q6984199,Genes on human chromosome 16,Category:ヒト16番染色体上の遺伝子
Q6984218,Genes on human chromosome 17,Category:ヒト17番染色体上の遺伝子
Q6984253,Genes on human chromosome 18,Category:ヒト18番染色体上の遺伝子
Q6984268,Genes on human chromosome 19,Category:ヒト19番染色体上の遺伝子
Q6984290,Genes on human chromosome 2,Category:ヒト2番染色体上の遺伝子
Q6984315,Genes on human chromosome 20,Category:ヒト20番染色体上の遺伝子
Q6984318,Genes on human chromosome 21,Category:ヒト21番染色体上の遺伝子
Q6984338,Genes on human chromosome 22,Category:ヒト22番染色体上の遺伝子
Q6984359,Genes on human chromosome 3,Category:ヒト3番染色体上の遺伝子
Q6984384,Genes on human chromosome 4,Category:ヒト4番染色体上の遺伝子
Q6984395,Genes on human chromosome 5,Category:ヒト5番染色体上の遺伝子
Q6984419,Genes on human chromosome 6,Category:ヒト6番染色体上の遺伝子
Q6984436,Genes on human chromosome 7,Category:ヒト7番染色体上の遺伝子
Q6984458,Genes on human chromosome 8,Category:ヒト8番染色体上の遺伝子
Q6984488,Genes on human chromosome 9,Category:ヒト9番染色体上の遺伝子
Q6984511,Genes on human chromosome X,Category:ヒトX染色体上の遺伝子
Q6984527,Genes on human chromosome Y,Category:ヒトY染色体上の遺伝子
Q6985292,King Faisal International Prize recipients for Medicine,カテゴリ:キング・ファイサル国際賞医学部門の受賞者
Q6991438,Eurovision Song Contest,Category:ユーロビジョン・ソング・コンテスト
Q6985621,Drug-related suicides in Germany,
Q6986697,Edmonton Elks general managers,
Q6987014,Cretaceous–Paleogene boundary,
Q6987245,Health in Calgary,
Q6987248,Hospitals in Calgary,
Q6987387,Calgary Stampeders general managers,
Q6988071,People from Medicine Hat,
Q6988397,Medicine Hat,
Q6988400,Mass media in Medicine Hat,
Q6988402,Radio stations in Medicine Hat,
Q6989614,BC Lions general managers,
Q6991604,Winnipeg Blue Bombers general managers,
Q6992629,Hospitals in Xinjiang,
Q6993163,Bible genealogy,
Q6994650,Protestant Jacobites,
Q6994948,Canadian criminal procedure case law,
Q6995476,Canadian civil procedure case law,
Q6996780,United States civil procedure case law,
Q6996952,United States equal protection and criminal procedure case law,
Q6997475,United States constitutional criminal procedure case law,
Q6997547,Federal Rules of Criminal Procedure case law,
Q6997541,United States criminal procedure case law,
Q6997552,U.S. state criminal procedure case law,
Q6998287,Secretaries of state for health (UK),
Q6998352,Lists of MPs elected in United Kingdom general elections,
Q6999211,Academics of the London School of Hygiene and Tropical Medicine,
Q6999214,Alumni of the London School of Hygiene and Tropical Medicine,
Q6999200,London School of Hygiene and Tropical Medicine,
Q6999197,Medical schools in London,
Q6999205,People associated with the London School of Hygiene and Tropical Medicine,
Q6999231,United Hospitals,
Q6999629,Rhodesian military medical officers,
Q6999725,South African medical researchers,
Q6999820,Solicitors general of India,
Q7000172,Lords Justice-General,
Q7000453,Saudi Arabian medical doctors,
Q7000770,Ancient Egyptian medicine,
Q7001386,Hospitals in Egypt,
Q7005444,Members of the Board of General Appraisers,
Q6987986,Medical researchers by nationality,Category:各国の医学者
Q6993542,Members of the National Academy of Medicine,Category:全米医学アカデミー会員
Q6996198,Geneticists by nationality,Category:各国の遺伝学者
Q6998301,Postmasters general of the United Kingdom,Category:イギリスの郵政長官
Q7002665,University of Geneva alumni,Category:ジュネーヴ大学出身の人物
Q7004503,Kentucky attorneys general,Category:ケンタッキー州検事総長
Q7004931,Communication disorders,Category:コミュニケーション障害
Q7004986,Immune system disorders,Category:免疫病
Q7006940,Pharmaceutical companies of Bangladesh,Category:バングラデシュの医薬品メーカー
Q7008257,SS generals,Category:親衛隊将軍
Q7008393,Inspectors-General of the Royal Irish Constabulary,
Q7008360,Stasi generals,
Q7008604,Tibetan medicine,
Q7009018,Guantanamo Bay captives legal and administrative procedures,
Q7009020,Guantanamo Bay captives appeals under the Detainee Treatment Act,
Q7009587,Judge advocates general of the United States Coast Guard,
Q7010041,Chromosome instability syndromes,
Q7010712,Drug Enforcement Administration,
Q7010718,Drug Enforcement Administration personnel,
Q7010716,Drug Enforcement Administration operations,
Q7010726,Drug Enforcement Administration agents,
Q7011411,Romanian Gendarmerie generals,
Q7011456,General Commanders of the Gendarmerie of Turkey,
Q7011438,Sri Lankan Inspectors General of Police,
Q7012026,Indian Council of Medical Research,
Q7012019,Medical research in India,
Q7012023,Medical research institutes in India,
Q7012175,Indian geneticists,
Q7012253,Indian genealogists,
Q7012360,Hellenic Police generals,
Q7013306,Israel Prize in medicine recipients,
Q7013662,NBA Slam Dunk Contest champions,
Q7015660,Chiefs of the General Staff (Egypt),
Q7017099,People executed under the Plantagenets,
Q7021042,Governor General's Award winners,
Q7021047,Governor General's Literary Award winners,
Q7021044,Governor General's Award in Commemoration of the Persons Case winners,
Q7021051,Governor General's Award–winning children's writers,
Q7021055,Governor General's Award–winning dramatists,
Q7021059,Governor General's Award–winning fiction writers,
Q7021063,Governor General's Award–winning children's illustrators,
Q7010722,Administrators of the Drug Enforcement Administration,
Q7008470,Chinese nuclear weapons testing,Category:中華人民共和国の核実験
Q7008711,Australian medical doctors,Category:オーストラリアの医師
Q7010016,Chinese nuclear test sites,Category:中華人民共和国の核実験場
Q7010411,Chinese medical researchers,Category:中国の医学者
Q7010408,Chinese geneticists,Category:中国の遺伝学者
Q7011047,Physical therapy,Category:理学療法
Q7011129,Lower limb anatomy,Category:下肢の解剖学
Q7011959,Indian nuclear weapons testing,Category:インドの核実験
Q7012008,Indian nuclear test sites,Category:インドの核実験場
Q7012022,Indian medical researchers,Category:インドの医学者
Q7012307,Viral infections of the central nervous system,Category:中枢神経系のウイルス感染症
Q7012332,Primality tests,Category:素数判定
Q7012769,Therapy,Category:治療
Q7013344,Wolf Prize in Medicine laureates,Category:ウルフ賞医学部門受賞者
Q7013781,Clinical trials,Category:臨床試験
Q7015872,Alternative medicine,Category:代替医療
Q7015952,Traditional medicine,カテゴリ:伝統医学
Q7017993,Pakistani nuclear weapons testing,Category:パキスタンの核実験
Q7017999,Pakistani nuclear test sites,Category:パキスタンの核実験場
Q7019981,Greatest Nationals,Category:最も偉大な人物
Q7019999,United Nations General Assembly resolutions,Category:国際連合総会決議
Q7018452,Pakistani geneticists,
Q7018583,Pakistani medical researchers,
Q7018631,Medical research institutes in Pakistan,
Q7018735,Academicians of the USSR Academy of Medical Sciences,
Q7018762,Corresponding Members of the USSR Academy of Medical Sciences,
Q7018765,Presidents of the USSR Academy of Medical Sciences,
Q7018758,USSR Academy of Medical Sciences,
Q7019045,Academic genealogies,
Q7020319,Military medicine in the Soviet Union,
Q7020490,Medical schools in Thailand,
Q7020488,Medical schools in Brazil,
Q7020633,Soviet geneticists,
Q7020834,Hospital ships of the Soviet Union and Russia,
Q7021070,Governor General's Award–winning poets,
Q7021069,Governor General's Award–winning non-fiction writers,
Q7021079,Governor General's Performing Arts Award winners,
Q7021076,Governor General's Award–winning translators,
Q7021084,Governor General's Award in Visual and Media Arts winners,
Q7021205,Prix Maurice Genevoix winners,
Q7021477,Academicians of the Russian Academy of Medical Sciences and its forerunners,
Q7021482,Academicians of the Russian Academy of Medical Sciences,
Q7021586,Corresponding Members of the Russian Academy of Medical Sciences,
Q7021574,Russian Academy of Medical Sciences and its forerunners,
Q7021590,Russian Academy of Medical Sciences research institutes,
Q7022347,Health care by continent,
Q7022364,Health care in Africa,
Q7022378,Health care in Europe,
Q7022393,Healthcare in Algeria,
Q7022918,"Disorders of synthesis of DNA, RNA, and proteins",
Q7022919,Respiratory and cardiovascular disorders specific to the perinatal period,
Q7022993,Disorders of choroid and retina,
Q7022995,Medical error,
Q7024252,Medical research institutes in Russia,
Q7024619,Russian genealogists,
Q7025861,Riots and civil disorder in Australia,
Q7025918,Australian drug traffickers,
Q7029990,Belgian medical researchers,
Q7015401,General elections in the United Kingdom,Category:イギリス総選挙
Q7020343,Soviet nuclear weapons testing,Category:ソビエト連邦の核実験
Q7020382,Schools of public health,Category:公衆衛生大学院
Q7021581,Russian Academy of Medical Sciences,Category:ロシア医学アカデミー
Q7022449,South Korean Protestants,Category:韓国のプロテスタントの信者
Q7022837,Enzyme defects,Category:酵素欠損
Q7022994,Cognitive disorders,Category:認知障害
Q7024699,Russian geneticists,Category:ロシアの遺伝学者
Q7024711,Russian medical researchers,Category:ロシアの医学者
Q7025150,Medical ethics,Category:医療倫理
Q7027035,British medical researchers,Category:イギリスの医学者
Q7027062,Canadian medical researchers,Category:カナダの医学者
Q7028196,Turkish medical researchers,Category:トルコの医学者
Q7024209,Soviet nuclear test sites,Category:ロシア連邦の核実験場
Q7031164,Estonian geneticists,
Q7031458,Gynaecological cancer,
Q7031489,Gastrointestinal cancer,
Q7031510,Rare cancers,
Q7031751,French medical researchers,
Q7033806,Degenerate stars,
Q7035342,Pseudorandom number generators,
Q7036693,Byzantine medicine,
Q7036733,Ancient Greek medical works,
Q7036775,Girls' Generation concert tours,
Q7037257,Greek medical researchers,
Q7037763,Irish medical researchers,
Q7037760,Irish geneticists,
Q7037841,Geneticists from Northern Ireland,
Q7038436,Hospital ships of Italy,
Q7038776,Ancient Roman medicine,
Q7039818,General People's Congress (Yemen) politicians,
Q7040890,Norwegian geneticists,
Q7040894,Norwegian medical researchers,
Q7041984,Polish geneticists,
Q7043276,Romanian generals,
Q7046927,Spanish medical researchers,
Q7046982,Spanish geneticists,
Q7049126,General Electric subsidiaries,
Q7051442,Bacteria phyla,
Q7052682,Riots and civil disorder in Syria,
Q7052696,Riots and civil disorder in Israel,
Q7052707,Riots and civil disorder in Egypt,
Q7058832,General Dynamics aircraft,
Q7059243,Anatomical pathology,
Q7059222,Medicine in the medieval Islamic world,
Q7059255,Colorectal surgery,
Q7023215,Nobel laureates in Physiology or Medicine,Category:ノーベル生理学・医学賞受賞者
Q7029582,Austrian geneticists,Category:オーストリアの遺伝学者
Q7031586,Genetic diseases and disorders,Category:遺伝子疾患
Q7031748,French geneticists,Category:フランスの遺伝学者
Q7033480,French nuclear test sites,Category:フランスの核実験場
Q7033502,French nuclear weapons testing,Category:フランスの核実験
Q7034276,Patient safety,Category:患者安全
Q7034352,House of Malatesta,Category:マラテスタ家
Q7035858,German geneticists,Category:ドイツの遺伝学者
Q7036728,Ancient Greek medicine,Category:古代ギリシアの医療
Q7038955,Italian geneticists,Category:イタリアの遺伝学者
Q7038960,Italian medical researchers,Category:イタリアの医学者
Q7040150,Dutch medical researchers,Category:オランダの医学者
Q7040650,Geneticists,Category:遺伝学者
Q7046905,Neon Genesis Evangelion characters,Category:新世紀エヴァンゲリオンの登場人物
Q7059260,Transfusion medicine,Category:輸血
Q7064899,Cancer treatments,Category:がん治療
Q7064881,Radiation therapy,Category:放射線療法
Q7088421,Roman generals,
Q7046285,Anatomy stubs,
Q7050712,Fourth-generation programming languages,
Q7054301,Sexual health,
Q7059443,Mathematical methods in general relativity,
Q7059552,Subjects taught in medical school,
Q7060928,Endocrine-related cutaneous conditions,
Q7060938,Medical conditions related to obesity,
Q7066019,Clinical pathology,
Q7065997,Pharmaceutical microbiology,
Q7066038,Chemical pathology,
Q7066694,Mitochondrial genetics,
Q7068488,Surgical removal procedures,
Q7085543,Nidovirales,
Q7085793,Human physiology,
Q7085819,Cardiovascular physiology,
Q7086436,Muslim generals,
Q7113624,Health education in Iraq,
Q7113635,Medical education in Saudi Arabia,
Q7129753,Girls' Generation album covers,
Q7130161,History of anatomy,
Q7138796,Neon Genesis Evangelion manga,
Q7144263,Gross pathology,
Q7149330,D-Generation X members,
Q7149569,Congenital disorders of genital organs,
