en_label,ja_label,category,en_description,ja_description,qid
Bacterial soft rot,軟腐病,病気,bacterial plant disease,,Q4840001
Bakanae,馬鹿苗病,病気,Fungal disease of rice,,Q4849001
nutritional muscular dystrophy,白筋症,病気,disease caused by a deficiency of selenium and vitamin E in dietary intake,,Q4832491
primary immunodeficiency disease,原発性免疫不全症候群,病気,immune system disease that results when one or more essential parts of the immune system is missing or not working properly at birth due to a genetic mutation,,Q3043160
nosophobia,疾病恐怖症,病気,specific phobia that involves an irrational fear of contracting a disease,,Q3052614
prolapse,脱出症,病気,protrusion of an organ in into a natural or artificial orifice,,Q2112703
Silver-Russell syndrome,シルバー・ラッセル症候群,病気,growth disorder,,Q2142496
left bundle branch hemiblock,左脚ブロック,病気,cardiac conduction abnormality seen on the electrocardiogram,,Q2143688
fasciolopsiasis,肥大吸虫症,病気,parasitic helminth infectious disease that involves parasitic infection of the intestine by Fasciolopsis buski,,Q2140729
bovine leucocyte adhesion deficiency,牛白血球粘着不全症,病気,,,Q3043051
spoiled child,甘やかされて育てられる,病気,derogatory term aimed at children who exhibit behavioral problems from being overindulged by their parents or other caregivers,,Q3054155
ectopic testis,異所性精巣,病気,medical condition,,Q3047124
Postanesthetic shivering,麻酔後振戦,病気,medical condition,,Q2106232
zygomycosis,接合菌症,病気,infections caused by fungi in the class Zygomycetes,,Q3046374
viral encephalitis,ウイルス性脳炎,病気,encephalitis that involves inflammation of the brain caused by viral infection,,Q3053951
prurigo,痒疹,病気,medical condition,,Q3408668
haphephobia,接触恐怖症,病気,rare specific phobia that involves the fear of touching or of being touched,,Q2117240
mevalonic aciduria,メバロン酸キナーゼ欠損症,病気,Human disease,,Q3043158
proteopathy,プロテオパチー,病気,disease,,Q2113512
pyruvate kinase deficiency,ピルビン酸キナーゼ欠損症,病気,congenital nonspherocytic hemolytic anemia that has material basis in homozygous or compound heterozygous mutation in the PKLR gene on chromosome 1q22,,Q3043149
post-aggression metabolism,外科的ストレス,病気,systemic response to surgical injury,,Q2105932
carnitine palmitoyltransferase I deficiency,カルニチンパルミトイルトランスフェラーゼI欠損症,病気,human disease,,Q3043143
chilblains,凍瘡,病気,medical condition,,Q2141001
restrictive cardiomyopathy,拘束型心筋症,病気,"form of cardiomyopathy in which the walls are rigid,and the heart is restricted from stretching and filling with blood properly",,Q2151267
swine dysentery,豚赤痢,病気,,,Q2255642
pseudohermaphroditism,偽半陰陽,病気,old clinical term for an organism that is born with primary sex characteristics of one sex but develops the secondary sex characteristics,,Q2273662
neurogenic shock,神経原性ショック,病気,"distributive type of shock resulting in low blood pressure, attributed to disruption of autonomic pathways within the spinal cord",,Q2200381
cerebral hypoxia,低酸素脳症,病気,deprivation of oxygen to the brain,,Q2249526
ideas of reference and delusions of reference,関係念慮・関係妄想,病気,"belief that certain gestures, environmental cues, innocuous events, comments and so forth are directed at oneself",,Q2215516
trichuriasis,鞭虫症,病気,Human helminthiasis,,Q2264130
Tyzzer's disease,ティザー病,病気,bacterial disease of mammals,,Q2165907
rhinosinusitis,鼻副鼻腔炎,病気,simultaneous infection of the nasal mucosa (rhinitis) and the mucosa of the paranasal sinuses (sinusitis),,Q2148123
Blackleg,黒あし病,病気,caused by Pectobacterium carotovorum,,Q2253530
porcine reproductive and respiratory syndrome,豚繁殖・呼吸障害症候群,病気,swine disease,,Q2275037
abuse of medicaments,依存を生じない物質の乱用,病気,repeated and inappropriate use of medicaments and/or folk remedies,,Q2258219
spondylitis,脊椎炎,病気,inflammation of the vertebra,,Q2165411
erythema ab igne,温熱性紅斑,病気,rash of the skin usually caused by the long-term exposure to heat or infrared radiation,,Q2161683
TORCH complex,TORCH症候群,病気,medical condition,,Q2208086
ringtail,リングテール,病気,rodent disease,,Q2153528
Nelson syndrome,ネルソン症候群,病気,hormonal disorder sometimes resulting from adrenal gland removal,,Q2165266
chronic granulomatous disease,慢性肉芽腫性疾患,病気,diverse group of hereditary diseases in which certain cells of the immune system have difficulty forming the reactive oxygen compounds used to kill certain ingested pathogens,,Q2165663
plants boron deficiency,ホウ素欠乏症,病気,nutritional disorder in plants,,Q2205151
congenital diaphragmatic hernia,先天性横隔膜ヘルニア,病気,"diaphragm disease characterized by the lack of development of all or part of the diaphragm, which results in an abnormal opening that allows the stomach and intestines to move into the chest cavity and crowd the heart and lungs",,Q2163245
Sanfilippo syndrome,ムコ多糖症III型,病気,mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme resulting in incomplete breakdown of the heparan sulfate sugar chain,,Q2200359
Omenn syndrome,オーメン症候群,病気,Human disease,,Q2214419
anthophobia,花恐怖症,病気,fear of flowers,,Q2157183
entomophobia,虫嫌い,病気,fear for insects,,Q2157130
retired husband syndrome,主人在宅ストレス症候群,病気,psychosomatic stress-related illness of older females recognized in Japanese culture,,Q2146200
teratospermia,奇形精子症,病気,medical condition of mis-shaped sperm,,Q2161625
retinopathy of prematurity,未熟児網膜症,病気,"disease of the eye affecting prematurely born babies generally having received intensive neonatal care, in which oxygen therapy is used on them due to the premature development of their lungs",,Q1423087
fish tuberculosis,抗酸菌症,病気,,,Q1420459
Wobbler disease,ウォブラー症候群,病気,neurological condition of dogs and horses,,Q1417007
1981 Irish hunger strike,1981年アイルランド断食闘争,病気,hunger strike by Irish republican prisoners in Northern Ireland,,Q1417338
Mobius syndrome,メビウス症候群,病気,rare disease,,Q1418152
puerperal infection,産褥熱,病気,human disease,,Q1419347
idée fixe,観念固着,病気,an idea that preoccupies an individual and that he is unwilling to give up despite evidence to the contrary,,Q1421961
LEOPARD syndrome,LEOPARD症候群,病気,"rare autosomal dominant,[3] multisystem disease caused by a mutation in the protein tyrosine phosphatase, non-receptor type 11 gene (PTPN11)",,Q1798016
latah,ラタ,病気,culture-bound syndrome,,Q1806811
taphophobia,生き埋め恐怖症,病気,fear of being buried alive,,Q1796703
Fitz-Hugh–Curtis syndrome,フィッツ・ヒュー・カーティス症候群,病気,medical condition,,Q1421272
oneirophrenia,夢幻精神病,病気,acute schizophrenia-like psychotic disorder in which hallucinations and dream-like state are the main clinical features,,Q1419434
culture-bound syndrome,文化依存症候群,病気,combination of symptoms that are considered to be a recognizable disease only within a specific culture,,Q1791709
hemarthrosis,関節内出血,病気,bleeding into joint spaces,,Q1642040
phobophobia,恐怖症恐怖症,病気,fear of phobias or having one,,Q1644478
persistent Müllerian duct syndrome,ミュラー管遺残症候群,病気,"intersex variation where one has XY chromosomes, male-typical reproductive organs and external genitalia, and some component(s) of a female-typical reproductive tract",,Q1958739
low milk supply,母乳不足,病気,production of breast milk by a mother that is of insufficient quantity to meet the nutritional needs of her infant,,Q1641325
hypodermyasis,牛バエ幼虫症,病気,human disease,,Q1641318
hypotrichosis,低毛症,病気,"hair disease that is characterized by sparse hair on the scalp resulting from abnormal hair follicle development and has material basis in mutations in proteins involved in hair growth, division or proliferation of cells within hair follicles",,Q1641483
hematidrosis,血汗症,病気,sweating of blood,,Q1642094
hypoplastic left heart syndrome,左心低形成症候群,病気,congenital heart disease characterized by abnormal development of the left-sided structures of the heart,,Q1641399
craniomandibular osteopathy,頭蓋骨下顎骨骨症,病気,,,Q1786494
levo-transposition of the great arteries,左旋性大血管転位,病気,medical condition,,Q1784755
periodic paralysis,周期性四肢麻痺,病気,human disease,,Q1788314
contrast-induced nephropathy,造影剤誘発性腎障害,病気,form of kidney damage in which there has been recent exposure to medical imaging contrast material,,Q1783300
conductive hearing loss,伝音難聴,病気,medical condition,,Q1581308
hypoparathyroidism,副甲状腺機能低下症,病気,endocrine disease,,Q1586088
thrombophilia,血栓性素因,病気,abnormality of blood coagulation that increases the risk of thrombosis (blood clots in blood vessels),,Q1570013
vulvodynia,ヴルヴォディニァ,病気,Vulvodynia is a chronic pain syndrome that affects the vulvar area and occurs without an identifiable cause. Symptoms typically include a feeling of burning or irritation. For the diagnosis to be made symptoms must last at least 3 months.,,Q1571008
pseudolymphoma,偽リンパ腫,病気,benign nepolasm that resembles a malignant lymphoma,,Q1592207
congenital aplasia of the vas deferens,先天性精管欠損症,病気,medical condition,,Q1561647
Rothmund-Thomson syndrome,ロスムンド・トムソン症候群,病気,human disease,,Q1583485
REM sleep behavior disorder,レム睡眠行動障害,病気,sleep disorder that involves abnormal behavior including the acting out of violent or dramatic dreams during the sleep phase with rapid eye movement,,Q2103933
oculopharyngeal muscular dystrophy,眼咽頭型筋ジストロフィー,病気,"Oculopharyngeal muscular dystrophy (OPMD) is an adult-onset progressive myopathy characterized by progressive eyelid ptosis, dysphagia, dysarthria and proximal limb weakness",,Q3042171
congenital insensitivity to pain,先天性無痛症,病気,medical condition,,Q3045238
glutaric aciduria type 1,グルタル酸尿症1型,病気,Glutaryl-CoA dehydrogenase (GCDH) deficiency (GDD) is an autosomal recessive neurometabolic disorder clinically characterized by encephalopathic crises resulting in striatal injury and a severe dystonic dyskinetic movement disorder,,Q2140501
porcelain gallbladder,磁器胆嚢,病気,calcification of the gallbladder believed to be brought on by excessive gallstones,,Q2105535
acute fatty liver of pregnancy,急性妊娠脂肪肝,病気,medical condition,,Q4677929
Green Tobacco Sickness,緑タバコ病,病気,type of nicotine poisoning,,Q5603286
glucose-galactose malabsorption,グルコース-ガラクトース吸収不良症,病気,"Glucose-galactose malabsorption (GGM) is a very rare, potentially lethal, genetic metabolic disease characterized by impaired glucose-galactose absorption resulting in severe watery diarrhea and dehydration with onset inthe neonatal period",,Q5572341
tinea pedis,足白癬,病気,foot disease,,Q5609817
Adenomatoid odontogenic tumor,腺様歯原性腫瘍,病気,medical condition,,Q4682247
generalized pustular psoriasis,汎発性膿疱性乾癬,病気,human disease,,Q5532501
Glycogen storage disease type 0,糖原病0型,病気,human disease,,Q5572606
HIV-associated lipodystrophy,HIVリポジストロフィー症候群,病気,Human disease,,Q5629813
Gelastic seizure,笑い発作,病気,"rare type of seizure that involves a sudden burst of energy, usually in the form of laughing or crying",,Q5530367
genetic resistance to malaria,マラリアへの遺伝学的抵抗性,病気,human disease,,Q5532924
Glass delusion,ガラス妄想,病気,mental disorder from the Middle Ages,,Q5567102
HIV/AIDS in Botswana,ボツワナにおけるHIV/エイズ,病気,major health concern in Botswana,,Q5629825
GRACILE syndrome,GRACILE症候群,病気,inherited metabolic disease,,Q5514398
galactokinase deficiency,ガラクトキナーゼ欠損症,病気,galactosemia that involves an accumulation of galactose and galactitol secondary to the decreased conversion of galactose to galactose-1-phosphate by galactokinase,,Q5517825
scrofula,瘰癧,病気,human medical condition,,Q4678337
gray platelet syndrome,灰色血小板症候群,病気,rare congenital autosomal recessive bleeding disorder caused by a reduction or absence of alpha-granules in blood platelets,,Q5598273
Giant platelet disorder,巨大血小板症,病気,medical condition,,Q5558486
gerascophobia,加齢恐怖症,病気,"abnormal, incessant fear and repulsion of growing older due to loss of health and ability",,Q5550344
subacute bacterial endocarditis,亜急性細菌性心内膜炎,病気,Human disease,,Q2271749
Venezuelan hemorrhagic fever,ベネズエラ出血熱,病気,Human disease,,Q3067401
leucocytozoonosis,ロイコチトゾーン症,病気,,,Q2224064
fear of bees,ハチ恐怖症,病気,phobia of bees,,Q2160101
lamellar ichthyosis,層状魚鱗癬,病気,disease,,Q3804556
heptadecaphobia,17恐怖症,病気,fear of the number 17 in some Mediterranean countries,,Q3730759
eczema herpeticum,カポジ水痘様発疹症,病気,Human disease,,Q3718816
bacterial pneumonia,細菌性肺炎,病気,pneumonia involving inflammation of the lungs caused by bacteria,,Q3776920
Fusarium ear blight,赤かび病,病気,fungal disease of cereals,,Q3771039
craniometaphyseal dysplasia,頭蓋骨幹端骨異形成症,病気,osteosclerosis that has material basis in mutations in the ANKH gene which results in progressive thickening located in skull and abnormally shaped ends of long bones in the limbs,,Q3710209
variant Creutzfeldt–Jakob disease,変異型クロイツフェルト・ヤコブ病,病気,degenerative brain disease caused by prions,,Q2323502
Aleutian disease,ミンクアリューシャン病,病気,disease of mustelids caused by a highly contagious parvovirus (carnivore amdoparvovirus 1),,Q2348506
anaplasmosis,アナプラズマ病,病気,"disease, mostly animal (cattle) also in humans, caused by bacteria of the genus Anaplasma",,Q2394735
Shy-Drager syndrome,シャイ・ドレーガー症候群,病気,,,Q2280546
membranoproliferative glomerulonephritis,膜性増殖性糸球体腎炎,病気,"glomerulonephritis caused by deposits in the kidney glomerular mesangium and basement membrane thickening, activating the complement system and damaging the glomeruli",,Q2299379
stenosis,狭窄,病気,abnormal narrowing of a blood vessel or other tubular organ or structure; also sometimes called a stricture,,Q2343082
Smith-Magenis syndrome,スミス・マゲニス症候群,病気,Human disease,,Q2295338
asthenozoospermia,精子無力症,病気,medical term for reduced sperm motility,,Q2329041
Werdnig–Hoffmann disease,ウエルドニッヒ・ホフマン症,病気,Human disease,,Q2362826
choroideremia,コロイデレミア,病気,"rare, X-linked recessive form of hereditary retinal degeneration",,Q2397009
primordial dwarfism,原発性小人症,病気,form of dwarfism that results in a smaller body size in all stages of life,,Q2289761
bicornuate uterus,二重頸管,病気,human disease,,Q2403166
discitis,椎間板炎,病気,Human disease,,Q2312030
poisoning of Alexander Litvinenko,リトビネンコ事件,病気,2006 fatal poisoning of a former FSB and KGB officer,,Q2395283
boiling frog,茹でガエル,病気,metaphor for the inability of people to react to significant changes that occur gradually,,Q2363109
Sjogren-Larsson syndrome,シェーグレン・ラルソン症候群,病気,autosomal recessive form of ichthyosis apparent at birth,,Q2291208
pseudohallucination,偽幻覚,病気,"involuntary sensory experience vivid enough to be regarded as a hallucination, but recognised by the patient not to be the result of external stimuli",,Q2361468
paralytic shellfish poisoning,麻痺性貝中毒,病気,syndrome of shellfish poisoning,,Q2283583
strongyloidiasis,桿虫症,病気,Human helminthiasis,,Q2360849
drapetomania,ドラペトマニア,病気,conjectural mental illness linked to scientific racism,,Q2351339
hereditary elliptocytosis,遺伝性楕円赤血球症,病気,"hematopoietic system disease characterized by oval or elliptical red blood cells, slight or absent hemolysis with little or no anemia; splenomegaly is often present",,Q2298020
herpetophobia,爬虫類恐怖症,病気,fear or aversion to reptiles,,Q2319444
Job's syndrome,高免疫グロブリンE症候群,病気,"autosomal dominant form called Job's syndrome or Buckley syndrome, is a heterogeneous group of immune disorders",,Q2336873
Warthin's tumor,腺リンパ腫,病気,type of benign tumor of the salivary glands,,Q2300699
2-methylbutyryl-CoA dehydrogenase deficiency,2-メチルブチリルCoAデヒドロゲナーゼ欠損症,病気,gene (located on chromosome 10q25-26) have been reported in affected patients. Treatment includes carnitine supplementation and a low-protein diet.,,Q4596905
AL amyloidosis,全身性ALアミロイドーシス,病気,medical condition,,Q4652470
Helicobacter pylori infectious disease,ピロリ菌感染症,病気,human disease,,Q4497153
vermiphobia,寄生虫恐怖症,病気,fear of worms,,Q4422074
tick infestation,ダニの蔓延,病気,disease,,Q4199106
accessory pancreas,副膵,病気,congenital disorder of digestive system,,Q4672542
AIDS-related complex,エイズ関連症候群 (ARC),病気,Human disease,,Q4651855
Kleefstra syndrome,クリーフストラ症候群,病気,Human disease,,Q4646476
chromosomal disease,染色体疾患,病気,"genetic disease that has material basis in extra, missing, or re-arranged chromosomes",,Q4501577
hypoestrogenism,低エストロゲン症,病気,medical condition,,Q5959600
Glasses fetishism,眼鏡フェティシズム,病気,Sexual fetishistic attraction to people wearing glasses,,Q3092722
post-schizophrenic depression,統合失調症後抑うつ,病気,depressive episode arising in the aftermath of a schizophrenic psychosis,,Q3208285
minimal brain dysfunction,微細脳障害,病気,former neuropsychiatric diagnosis,,Q3267614
parasitic twin,寄生性双生児,病気,medical condition,,Q3155162
salivary gland neoplasm,唾液腺腫瘍,病気,human disease,,Q3267772
endemic typhus,発疹熱,病気,"typhus transmitted by fleas (Xenopsylla cheopis), usually on rats",,Q3084532
excessive daytime sleepiness,日中の過剰な眠気,病気,symptom characterized by persistent sleepiness during daytime,,Q3144201
childhood obesity,小児肥満,病気,condition where excess body fat negatively affects a child's health or well-being,,Q3241451
pretibial myxedema,脛骨前粘液水腫,病気,Human disease,,Q3130277
nyctophobia,暗所恐怖症,病気,fear of the dark,,Q3245580
skeletal fluorosis,骨のフッ素症,病気,bone disease caused by excessive accumulation of fluoride in the bones,,Q3266880
Panama disease,バナナパナマ病,病気,plant disease that primarily affects bananas,,Q3240031
loxoscelism,ロクソスセレス症,病気,condition occasionally produced by the bite of the recluse spiders,,Q3264425
undifferentiated schizophrenia,鑑別不能の統合失調症,病気,,,Q3208822
female sexual arousal disorder,冷感症,病気,persistent or recurrent inability to attain sexual arousal or to maintain arousal until the completion of a sexual activity,,Q3241252
anisakiasis,アニサキス症,病気,helminthiasis,,Q3091959
residual schizophrenia,残遺[型]統合失調症,病気,"mental disorder, chronic stage in the development of a schizophrenic illness",,Q3208830
hereditary haemochromatosis,ヘモクロマトーシス,病気,metal metabolism disorder characterized by the accumulation of iron in various organs of the body,,Q3144934
athletic pubalgia,スポーツヘルニア,病気,medical condition,,Q3099702
medical students' disease,医学生病/病気不安,病気,"condition in medical students, who perceive themselves to be experiencing the symptoms of a disease that they are studying",,Q3141344
anterior segment mesenchymal dysgenesis,Peters異常,病気,Human disease,,Q3108583
necrotising hepatopancreatitis,壊死性肝膵炎,病気,lethal epizootic disease of farmed shrimp,,Q3144984
scopophobia,視線恐怖症,病気,fear of being seen or stared at by others,,Q3497292
panphobia,汎恐怖症,病気,vague and persistent dread of some unknown evil,,Q3497893
Mal de debarquement,下船病,病気,medical condition,,Q3480741
heliophobia,日光恐怖症,病気,morbid fear of sunlight or excessive sensitivity of the eyes to sunlight,,Q3499749
immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,IPEX症候群,病気,"hypersensitivity reaction type II disease characterized by onset in infancy of refractory diarrhea, endocrinopathies, type 1 diabetes mellitus, and dermatitis that has material basis in mutation in the FOXP3 gene on chromosome Xp11",,Q3508566
avian infectious bronchitis,鶏伝染性気管支炎,病気,disease of avian,,Q3270334
laryngeal papillomatosis,喉頭乳頭腫,病気,medical condition,,Q3497004
actinobacillosis,アクチノバチルス症,病気,Human disease,,Q3270160
ATR-16 syndrome,ATR-16症候群,病気,"alpha thalassemia that has material basis in a deletion in chromosome 16p that involves the alpha-1 (HBA1) and alpha-2 (HBA2) genes, among others",,Q3508561
fear of mice,ネズミ恐怖症,病気,phobia,,Q3440772
orotic aciduria,オロト酸尿症,病気,pyrimidine metabolic disorder that is characterized by an excessive secretion of orotic acid in urine,,Q3276506
hyperkalemic periodic paralysis,高カリウム性周期性四肢麻痺,病気,Human disease,,Q3269843
HIV/AIDS in Canada,カナダにおけるHIV/AIDS,病気,,,Q5629828
HIV/AIDS in Haiti,ハイチにおけるHIV/AIDS,病気,,,Q5629848
Timothy syndrome,ティモシー症候群,病気,"autosomal dominant disease that is characterized by cardiac, hand/foot, facial, and neurodevelopmental features; the two forms are type 1 (classic) and type 2, a rare form that has material basis in mutations in a transcript variant of CACNA1C",,Q3508705
Testicular dysgenesis syndrome,精巣形成不全症候群,病気,medical condition,,Q3508714
ehrlichiosis,エールリヒア症,病気,human disease,,Q2845432
Anosodiaphoria,疾病無関心,病気,medical condition,,Q2852337
Loeys-Dietz syndrome,ロイス・ディエツ症候群,病気,Human disease,,Q3508669
Baller-Gerold syndrome,バレーゲロルド症候群,病気,"synostosis characterized by coronal craniosynostosis, short stature, and aplasia or hypoplasia of the radial bone",,Q3508616
factor XII deficiency,第XII因子欠乏症,病気,Human disease,,Q2841213
spinocerebellar ataxia type 6,脊髄小脳変性症6型,病気,Human disease,,Q2868788
simple-type schizophrenia,単純型統合失調症,病気,type of schizophrenia,,Q2855814
transthyretin amyloidosis,家族性アミロイド,病気,HEREDITARY AMYLOIDOSIS,,Q2844603
intraepidermal neutrophilic IgA dermatosis,IgA天疱瘡,病気,medical condition,,Q6058392
nonunion,偽関節,病気,permanent failure of healing following a broken bone,,Q7049641
Inverse psoriasis,逆性乾癬,病気,medical condition,,Q6060418
meromelia,メロメリア,病気,congenital abnormality,,Q6819940
medullary carcinoma,髄様癌,病気,human disease,,Q6807316
medication phobia,薬物恐怖症,病気,fear of the use of pharmacological treatments,,Q6806658
money disorder,借金依存症,病気,maladaptive patterns of financial beliefs and behaviors,,Q6899222
fasciolosis,肝蛭症,病気,parasitic worm infection caused by the common liver fluke Fasciola hepatica as well as by Fasciola gigantica,,Q6972442
multiple carboxylase deficiency,複合カルボキシラーゼ欠損症,病気,human disease,,Q6934914
multicystic dysplastic kidney,多嚢胞性異形性腎,病気,congenital disorder of urinary system,,Q6934642
neonatal abstinence syndrome,新生児薬物離脱症候群,病気,Medical condition in newborn babies caused by drugs taken by the mother before birth,,Q6993502
Mycobacterium avium-intracellulare infection,非定型抗酸菌複合体,病気,Human disease,,Q6946984
Multifocal motor neuropathy,多巣性運動ニューロパチー,病気,"Multifocal motor neuropathy (MMN) is a rare acquired immune-mediatedneuropathy characterized clinically by a purely motor deficit with conduction block and asymmetric multifocal weakness, fasciculations, and cramping",,Q6934690
Fetal trimethadione syndrome,胎児トリメタジオン症候群,病気,medical condition,,Q5445919
fat necrosis,脂肪壊死症,病気,form of necrosis characterized by the action upon fat by digestive enzymes,,Q5437240
Estrogen insensitivity syndrome,エストロゲン不応症候群,病気,genetic variation in which the body does not respond to estrogen,,Q5401847
exudative vitreoretinopathy,家族性滲出性硝子体網膜症,病気,retinal vascular disease characterized by the prevention of blood vessel formation at the edges of the retina and the hemorrhage of the blood vessels in the retina,,Q5432936
Exercise induced pulmonary hemorrhage,運動誘発性肺出血,病気,"Ruptured lung capillaries, mainly in horses",,Q5420060
familial male-limited precocious puberty,精巣中毒症,病気,rare disease,,Q5432947
familial partial lipodystrophy,家族性部分型リポジストロフィー,病気,lipodystrophy characterized by abnormal subcutaneous adipose tissue distribution beginning in late childhood or early adult life,,Q5432945
linear IgA bullous dermatosis,線状IgA水疱性皮膚症,病気,Human disease,,Q5405504
fear of negative evaluation,他者からの否定的評価への恐れ,病気,psychological construct,,Q5439398
Equine protozoal myeloencephalitis,馬原虫性脊髄脳炎,病気,Central nervous system disease of horses,,Q5384512
equinophobia,馬恐怖症,病気,psychological fear of horses,,Q5384517
Fibrinolysis syndrome,低フィブリノゲン血症,病気,medical condition,,Q5446449
chiroptophobia,コウモリ恐怖症,病気,fear of bats,,Q5439392
feline spongiform encephalopathy,猫海綿状脳症,病気,Feline brain disease,,Q5441917
episodic ataxia type 4,周期性失調症,病気,Human disease,,Q5383563
Brugia malayi filariasis,マレー糸状虫症,病気,human disease,,Q4097126
fungal meningitis,真菌性髄膜炎,病気,meningitis that has material basis in a fungal infection,,Q5509169
hereditary stomatocytosis,遺伝性有口赤血球症,病気,human disease,,Q3973817
fear of crossing streets,道路横断恐怖症,病気,phobia that affects a person's ability to cross a street or roadway,,Q4056938
congenital hereditary endothelial dystrophy of cornea,先天性角膜内皮ジストロフィー,病気,Human disease,,Q4127191
mucopolysaccharidosis IX,ムコ多糖症IV型,病気,mucopolysaccharidosis characterized by a deficiency in hyaluronidase,,Q5473408
genital ulcer,陰部潰瘍,病気,ulcer located on the genital area,,Q4116466
Rabson–Mendenhall syndrome,ラブソン-メンデンホール症候群,病気,medical condition,,Q3961685
frigophobia,寒冷恐怖症,病気,fear of becoming too cold,,Q5504524
abnormal uterine bleeding,機能性子宮出血,病気,medical condition,,Q2633143
body-focused repetitive behavior disorders,身体集中反復行動,病気,mental and behaviour disorders including skin picking and hair pulling,,Q4936774
Buried penis,埋没陰茎,病気,Male congenital condition,,Q4998855
breakthrough infection,打ち抜き感染,病気,infection following vaccine administration,,Q4959681
atypical pneumonia,非定型肺炎,病気,type of pneumonia not caused by one of the pathogens most commonly associated with the disease,,Q2633267
Blocq's disease,ブロック病,病気,loss of memory of specialized movements causing the inability to maintain an upright posture,,Q4927306
Intranodal palisaded myofibroblastoma,節内柵状筋芽細胞腫,病気,medical condition,,Q6058489
abomasal impaction,第四胃食滞,病気,disease in cattle,,Q6086018
injury phobia,外傷恐怖症,病気,"abnormal, pathological fear of having an injury",,Q6034425
sexophobia,性恐怖症,病気,"fear of sexual organs or sexual activities and, in a larger sense, the fear of sexuality",,Q6126515
Intervertebral disc disorder,椎間板障害,病気,human disease,,Q6057394
iron deficiency,鉄欠乏症,病気,plant disorder,,Q6072950
Infantile neuroaxonal dystrophy,乳児神経軸索ジストロフィー,病気,describes several similar diseases,,Q6029060
spastic quadriplegia,痙性四肢麻痺,病気,type of spastic cerebral palsy characterized by increased muscle tone of all four extremities,,Q3985306
alveolar soft part sarcoma,胞巣状軟部肉腫,病気,soft tissue cancer that is a slow growing tumor of an unknown origin that effects children and effects young adults,,Q4063436
binasal hemianopsia,両鼻側半盲,病気,medical condition,,Q4086828
teratophobia,奇形恐怖症,病気,fear of monsters or giving birth to a monster,,Q3984222
HIV/AIDS in South Africa,南アフリカ共和国のHIV/AIDS,病気,health concern in South Africa,,Q3643653
first-degree atrioventricular block,1度房室ブロック,病気,disease of the electrical conduction system of the heart in which the PR interval is lengthened beyond 0.20 seconds,,Q3640986
antithrombin III deficiency,アンチトロンビン欠乏症,病気,inherited blood coagulation disease characterized by the tendency to form clots in the veins,,Q3704732
third-degree atrioventricular block,3度房室ブロック,病気,medical condition in which the impulse generated in the sinoatrial node (SA node) in the atrium of the heart does not propagate to the ventricles,,Q3640984
tracheal collapse in dog,気管虚脱,病気,flattening of the trachea in animals,,Q2447482
Transmissible mink encephalopathy,伝達性ミンク脳症,病気,prion disease of mink,,Q3657255
thalassophobia,海洋恐怖症,病気,fear of the sea or of sea travel,,Q3656219
balantidiasis,バランチジウム症,病気,parasitic disease,,Q2447562
Tetra-amelia syndrome,テトラ・アメリア症候群,病気,human disease,,Q2406697
bacterial meningitis,細菌性髄膜炎,病気,inflammation of the membranes surrounding the brain and spinal cord due to a bacterial infection,,Q3678510
pemphigus vulgaris,尋常性天疱瘡,病気,chronic blistering skin disease,,Q3899001
La Crosse encephalitis,ラクロス脳炎,病気,Human disease,,Q2713959
lice infestation,シラミ症,病気,"parasitic ectoparasitic infectious disease that involves infestation of lice, blood-feeding ectoparasitic insects of the order Phthiraptera",,Q1343674
Omsk hemorrhagic fever,オムスク出血熱,病気,Human disease,,Q2741820
epididymitis,精巣上体炎,病気,"disease characterized by inflammation of the epididymis, a structure at the back of the testicle",,Q1344812
premenstrual dysphoric disorder,月経前不快気分障害,病気,"mood disorder characterised by emotional, cognitive and physical symptoms",,Q2728811
chromosome 1q21.1 duplication syndrome,1q21.1重複症候群,病気,Human disease,,Q2692054
trisomy 22,22トリソミー,病気,partial or complete triplication of chromosome 22,,Q1426698
chromoblastomycosis,クロモブラストミコーシス,病気,long-term fungal infection of the skin and subcutaneous tissue,,Q2726043
hallux rigidus,強剛母趾,病気,disease,,Q1425208
Ralstonia solanacearum,青枯病菌,病気,species of bacterium,,Q2710840
enterotoxemia,エンテロトキセミア,病気,animal disease,,Q1344619
dominant white,優性白色,病気,horse coat color and its genetics,,Q2729941
Bolivian hemorrhagic fever,マチュポウイルス,病気,hemorrhagic fever and zoonotic infectious disease originating in Bolivia after infection by Machupo virus,,Q2700304
acatalasia,無カタラーゼ症,病気,Human disease,,Q3273331
AIDS dementia complex,HIV関連神経認知障害,病気,Human disease,,Q3435504
isovaleric acidemia,イソ吉草酸血症,病気,organic acidemia disrupting or preventing normal metabolism of the branched-chain amino acid leucine,,Q3278042
animal lead poisoning,動物の鉛中毒,病気,,,Q3474070
dextro-transposition of the great arteries,右旋性大血管転位,病気,congenital heart disease characterized by complete inversion of the great vessels where the aorta incorrectly arises from the right ventricle and the pulmonary artery incorrectly arises from the left ventricle,,Q3501283
lipoatrophy,皮下脂肪萎縮症,病気,medical condition,,Q3500973
myxoid liposarcoma,粘液型脂肪肉腫,病気,human disease,,Q6949365
myoclonic astatic epilepsy,ドーゼ症候群,病気,generalised idiopathic epilepsy,,Q6947909
