qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24084959,症状,Q169872,primary affect,,"clinical symptom, which means a limited presence of inflammation at the site of initial penetration of infectious disease.",,,,,,
Q22050868,症状,Q169872,postural sway,,neurologic symptom,,,,,,C0427118
Q29643911,症状,Q169872,Action tremor,,"tremor present when the limbs are active, either when outstretched in a certain position or throughout a voluntary movement",,,,,,
Q21756893,症状,Q169872,ascending paralysis,,neurologic symptom,,,,,,
Q21119917,症状,Q169872,lip bleeding,,,,,,,,
Q21120168,症状,Q169872,black sputum,,,,,,,,
Q21120136,症状,Q169872,foamy sputum,,,,,,,,
Q21120271,症状,Q169872,cherry red lips,,,,,,,,
Q21120010,症状,Q169872,poor sleep,,,,,,,,
Q21120255,症状,Q169872,paroxysmal cough,,,,,,,,
Q21908909,症状,Q169872,toneless voice,,,,,,,,
Q21993812,症状,Q169872,chronic nausea,,,,,,,,
Q22314576,症状,Q169872,cold skin,,,,,,,,
Q22965464,症状,Q169872,hypercrinia,,,,,,,,
Q21402580,症状,Q169872,motor neuropathy,運動ニューロパチー,medical condition,,,,,,
Q29789635,症状,Q169872,encephalitic cry,,crying caused by encephalitis,,,,,,
Q21120214,症状,Q169872,burning mouth,,symptom,,,,,,C0877717
Q21120241,症状,Q169872,bitter taste,,symptom,,,,,,C0235290
Q21120220,症状,Q169872,dry throat,,symptom,,,,,,C0235234
Q28057221,症状,Q169872,hypotension following bladder drainage,,,,,,,,
Q28403848,症状,Q169872,Hutchinson's mask,,,,,,,,
Q21120235,症状,Q169872,urine discoloration,,medical condition,,,,,,C0522153
Q30141302,症状,Q169872,confusion with time and space,,,,,,,,
Q30141343,症状,Q169872,challenges in planning or solving problems,,,,,,,,
Q30141359,症状,Q169872,"difficulty completing familiar tasks at home, at work or at leisure",,,,,,,,
Q30141414,症状,Q169872,changes in mood and personality,,,,,,,,
Q131314258,症状,Q169872,Hyperlocomotion,,effect in animals,,,,,,
Q57769952,症状,Q169872,catatonic excitement,,"catatonic symptom, purposeless and excited motor activity without obvious cause",,,,295.2,,C0233606
Q54912092,症状,Q169872,intrinsic positive-pressure respiration,,non-therapeutic positive end-expiratory pressure occurring in patients with severe airway obstruction,,D018467,,,,C0242676
Q54912147,症状,Q169872,post-exercise hypotension,,transient reduction in blood pressure levels immediately after exercise,,D057774,,,,C2936233
Q42417507,症状,Q169872,post-exertional malaise,,symptom of chronic fatigue syndrome,,,,,,
Q56036789,症状,Q169872,Taussig symptoms,,diagnostic symptoms at Sand Fly Fever,,,,,,
Q56036868,症状,Q169872,Pick symptom,,diagnostic symptoms at Sand Fly Fever,,,,,,
Q56104212,症状,Q169872,Ferrari sign,,symptom of yellow fever,,,,,,
Q42417656,症状,Q169872,Knee buckling,,medical condition,,,M23.5,,203597000,C0427262
Q56233069,症状,Q169872,tetanus triad,,triad of symptoms,,,,,,
Q56233235,症状,Q169872,spatula test,,symptom in tetanus,,,,,,
Q47085690,症状,Q169872,abnormal skin coloration,,symptom,,,,,,C0151907
Q58145981,症状,Q169872,apragmatism,,state of inactivity caused by schizophrenia or severe depression,,,,,,C4049568
Q46978629,症状,Q169872,abnormality of the eyebrow,,,,,,,,C4011556
Q51714514,症状,Q169872,problem behavior,問題行動,unwanted habitual activity,,D000066553,,,,
Q129909264,症状,Q169872,Charlotte King Effect,,,,,,,,
Q118849417,症状,Q169872,self-cutting,,harming one's own body by cutting oneself intentionally and voluntarily,,,,,,
Q118906812,症状,Q169872,ear fullness,,"auditory sensation associated with a feeling of stuffiness in the ear, pressure in the ear, or a feeling of ""stuffed ear""",,,,,,
Q106429181,症状,Q169872,zagaiada,,wound caused by zagaia,,,,,,
Q97366766,症状,Q169872,dysorgasmia,オーガズム痛,pain caused by orgasm,,,,,,C0423749
Q130499326,症状,Q169872,stomach awareness,,medical symptom,,,,,,
Q113245042,症状,Q169872,medication induced tremor,,,,,G25.1,,,
Q75388730,症状,Q169872,fifth and sixth miscarried children of Anne of Great Britain,,(1697-1697),,,,,,
Q114240379,症状,Q169872,Strumpell's symptom,,diagnostic symptom,,,R29.8,,,
Q114240875,症状,Q169872,lying dog pose,,diagnostic symptom,,,R29.8,,,
Q123562799,症状,Q169872,mental status change,,symptom,,,,,,
Q120175339,症状,Q169872,autistic shutdown,,"mechanism for self-regulation by autistic people as a response to overstimulation, where the person withdraws into themselves and doesn't react or interact with the outside world until such time as they are regulated again",,,,,,
Q107400056,症状,Q169872,skin pain,,,,,,,,C0241136
Q72423832,症状,Q169872,autistic meltdown,自閉症のメルトダウン,involuntary emotional breakdown in an autistic person caused by severe stress,,,,,,
Q114179599,症状,Q169872,Kehrer's symptom,,diagnostic symptom,,,,,,
Q96278437,症状,Q169872,non-restorative sleep,,unrefreshing sleep,,,,,,
Q96470164,症状,Q169872,identity alteration,,switch to different personality state,,,,,,
Q107355983,症状,Q169872,Paradoxical breathing,,abnormal breathing pattern,,,,,,C0231852
Q104179175,症状,Q169872,postpartum bleeding,,,,,,,,
Q114177025,症状,Q169872,Mondonesi reflex,,diagnostic symptom,,,R29.8,,,
Q105723518,症状,Q169872,Prematurely aged appearance,,,,,,,,C1857656
Q124570567,症状,Q169872,Dynamic With Fins,,AIDA freediving discipline,,,,,,
Q124570575,症状,Q169872,Dynamic Without Fins,,AIDA freediving discipline,,,,,,
Q124570606,症状,Q169872,Dynamic With Bifins,,AIDA freediving discipline,,,,,,
Q124570596,症状,Q169872,Variable Weight Apnea,,AIDA freediving discipline,,,,,,
Q65244978,症状,Q169872,Jesus' side wound,,,,,,,,
Q124813894,症状,Q169872,autistic rage,,"intense outburst of anger, frustration, and agitation triggered by over- or understimulation, repeated interruptions of what they're doing; can seemingly come out of nowhere for neurotypicals",,,,,,
Q67135649,症状,Q169872,autistic special interest,,narrow and passionate interest experienced by autistic people that can spark positive feelings,,,,,,
Q67135693,症状,Q169872,rejection sensitive dysphoria,,strong emotional response to perceived rejection typically seen in people with ADHD,,,,,,
Q109875391,症状,Q169872,Constant Weight With Bifins,,competitive freediving discipline,,,,,,
Q108049203,症状,Q169872,body image disturbance,,altered perception of one's body image,,D000079182,,,,C2732632
Q108704537,症状,Q169872,Nipple pain in breastfeeding,,nipple pain,,,,,,
